spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
12,0.1424798220146712,0.1194798220146711,0.14947982201467108,0.1344798220146711,0.9231588089097976,0.7955347250677832,7.779999999999879
16,0.1361361935293138,0.1053861935293138,0.1353861935293138,0.1203861935293138,0.934258067525414,0.8226892534505895,8.989999999999853
20,0.1310396802750499,0.0945396802750499,0.1245396802750499,0.1095396802750499,0.9577969556498644,0.8382897027511238,10.04999999999983
24,0.1268656720604556,0.0868656720604556,0.1168656720604556,0.1003656720604556,0.9776592808761126,0.848406885401052,11.00999999999981
28,0.1233716351437206,0.0833716351437206,0.1133716351437206,0.09417163514372061,0.9818572599501525,0.8555343253110463,11.749999999999794
32,0.120390301913692,0.080390301913692,0.110390301913692,0.091490301913692,0.9817592307461723,0.8608671722811001,12.229999999999784
36,0.1178053679579252,0.0778053679579252,0.1078053679579252,0.08920536795792519,0.9814640634273764,0.8650435515663522,12.649999999999775
40,0.1155339956239955,0.0755339956239955,0.1055339956239955,0.0872339956239955,0.9810852908504885,0.8684326406077566,13.039999999999766
44,0.1135156463554136,0.0735156463554136,0.1035156463554136,0.08581564635541361,0.9807256088322954,0.8712617443028731,13.36999999999976
48,0.1117050071480967,0.0717050071480967,0.1017050071480967,0.0843050071480967,0.9804044298601797,0.8736779775006042,13.699999999999752
52,0.1100674288295651,0.0700674288295651,0.1000674288295651,0.08296742882956509,0.9801328801144107,0.8757805400783799,13.999999999999746
56,0.1085759118708147,0.0685759118708147,0.0985759118708147,0.0817759118708147,0.9799186451455502,0.8776386609605855,14.27999999999974
60,0.1072090647043794,0.0672090647043794,0.0972090647043794,0.0810090647043794,0.979785580661843,0.8793020875897468,14.519999999999735
64,0.1059496879468156,0.0659496879468156,0.0959496879468156,0.0800496879468156,0.9797028394158198,0.8808074822000203,14.75999999999973
68,0.1047837712481664,0.0647837712481664,0.09478377124816639,0.07918377124816639,0.9796609725882481,0.882182465489951,14.989999999999725
72,0.1036997684400571,0.0636997684400571,0.0936997684400571,0.07839976844005711,0.9796520499342781,0.8834482541284949,15.19999999999972
76,0.102688064393646,0.062688064393646,0.092688064393646,0.077688064393646,0.9796679617950634,0.8846214287544999,15.399999999999716
80,0.1017405765263967,0.061990576526396696,0.0919905765263967,0.0769905765263967,0.9797075514355319,0.8857151480739708,15.599999999999712
84,0.100850452572873,0.061350452572873096,0.0913504525728731,0.0763504525728731,0.9797578923318117,0.8867400006961363,15.779999999999708
88,0.1000118383019184,0.060761838301918406,0.0907618383019184,0.0757618383019184,0.979814826246762,0.8877046144228222,15.949999999999704
92,0.0992196968168428,0.060219696816842805,0.0902196968168428,0.0752196968168428,0.9798746912798676,0.8886160996906333,16.10999999999972
96,0.0984696664168259,0.0597196664168259,0.0897196664168259,0.0747196664168259,0.9799339432545686,0.8894803774360229,16.259999999999742
100,0.0977579476471867,0.0592579476471867,0.0892579476471867,0.0742579476471867,0.97998985136532,0.8903024250147716,16.409999999999766
104,0.0970812126996544,0.0588312126996544,0.0888312126996544,0.0738312126996544,0.9800383265834736,0.891086463099808,16.539999999999786
108,0.0964365321087608,0.058186532108760805,0.0881865321087608,0.0731865321087608,0.9800863345162809,0.8918360994512556,16.709999999999813
112,0.0958213149654557,0.0578213149654557,0.0878213149654557,0.0728213149654557,0.9801413699901088,0.8925544407518621,16.82999999999983
116,0.095233259791452,0.057483259791451996,0.087483259791452,0.072483259791452,0.9801850386583552,0.8932441805047356,16.94999999999985
120,0.094670313893055,0.057170313893055005,0.087170313893055,0.072170313893055,0.9802143387115478,0.8939076687831015,17.059999999999867
