spins,time,fidelity,gamma,optimum_gamma
4,6.399999999999993,0.6311051405163338,0.2634738150045095,0.2635581536136659
8,8.699999999999985,0.6290458962031453,0.2306358671887777,0.2307835686727283
12,10.999999999999975,0.6494104344617766,0.2084145178833175,0.2086147880798742
16,13.09999999999997,0.660494631404963,0.1932723456304614,0.1935200512961204
20,14.999999999999964,0.6646754100066319,0.1821651692205684,0.1824571005814988
24,16.99999999999997,0.6660317145910805,0.1735668769766068,0.1739007664481874
28,22.90000000000005,0.7001329581733615,0.1666471894918638,0.167021317242487
32,24.60000000000008,0.7442163222997726,0.1609147864355304,0.1613277855665809
36,26.200000000000102,0.7819089807471102,0.1560587521630005,0.1565094995216228
40,27.60000000000012,0.8130570611178366,0.1518716519665593,0.1523592014110747
44,28.90000000000014,0.8381052505922287,0.148209113139428,0.148732652074731
48,30.10000000000016,0.8576982946789105,0.1449671318047732,0.1455259514583734
52,31.200000000000173,0.8725319103201536,0.1420686153169162,0.1426620896096925
56,32.30000000000019,0.8832353289389198,0.139455029521281,0.1400825995673427
60,33.3000000000002,0.8904804688031944,0.1370810114930727,0.1377421739279268
64,34.200000000000216,0.8947920750815239,0.1349107792446746,0.1356050772401441
68,35.10000000000023,0.8966187850294676,0.1329156704884426,0.133642686704113
72,36.00000000000024,0.8964216852040882,0.1310724134090954,0.1318317643718774
76,36.900000000000254,0.8945511705043261,0.1293618852235752,0.1301532167816073
80,37.80000000000027,0.8912995650690098,0.1277682037401206,0.1285911873390907
84,38.60000000000028,0.8869947852102624,0.1262780511784597,0.127132380777283
88,39.40000000000029,0.881843083608151,0.1248801631250855,0.1257655526154986
92,40.3000000000003,0.8761044119146771,0.1235649369396311,0.1244811179678746
96,41.20000000000032,0.869996991094407,0.1223241279236417,0.1232708480365625
100,42.10000000000033,0.8637982806641491,0.1211506108886276,0.1221276319441811
104,43.40000000000035,0.8579707327390361,0.1200381910919505,0.1210452878871717
108,49.40000000000043,0.8650991071948669,0.1189814528821576,0.120018411961505
112,50.400000000000446,0.8712202928690678,0.1179756374633509,0.119042256077808
116,51.30000000000046,0.8765376538289607,0.1170165433716929,0.118112628564774
120,52.10000000000047,0.8809903294498953,0.1161004448319562,0.1172258126332353
124,52.90000000000048,0.8845811818200593,0.1152240243117712,0.1163784990220702
128,53.60000000000049,0.8873639921497216,0.1143843164402931,0.1155677299954464
132,54.3000000000005,0.8893761633480084,0.1135786610916442,0.1147908524939806
