spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
8,0.2307835686727283,0.1307835686727283,0.43078356867272827,0.3347835686727283,0.9500912799421293,0.664083113743898,7.129999999999892
12,0.2086147880798742,0.10861478807987421,0.40861478807987417,0.2706147880798742,0.9248289782739185,0.7023532419560383,9.709999999999837
16,0.1935200512961204,0.0875200512961204,0.3875200512961204,0.2375200512961204,0.8967556787736779,0.7193247745580367,11.799999999999793
20,0.1824571005814988,0.06595710058149881,0.3659571005814988,0.2159571005814988,0.8664296698545654,0.7290835688341203,13.609999999999754
24,0.1739007664481874,0.050400766448187306,0.3504007664481873,0.3204007664481873,0.8398396900959848,0.7357110717078942,14.839999999999728
28,0.167021317242487,0.039021317242487,0.33902131724248696,0.29402131724248703,0.8405227017489523,0.7407390008464764,16.43999999999977
32,0.1613277855665809,0.017827785566580906,0.31782778556658087,0.27282778556658094,0.8380655517874654,0.7448462173744831,17.950000000000006
36,0.1565094995216228,0.012009499521622807,0.3120094995216228,0.2580094995216228,0.8336058333153588,0.748371525295074,19.230000000000206
40,0.1523592014110747,0.007359201411074712,0.3073592014110747,0.1573592014110747,0.8567432563097748,0.7515001097144091,27.58000000000151
44,0.148732652074731,0.0032326520747310017,0.303232652074731,0.153232652074731,0.8810395851095505,0.7543408830976579,28.91000000000172
48,0.1455259514583734,-0.0004740485416265816,0.2995259514583734,0.1495259514583734,0.8996614133036639,0.7569619443049683,30.13000000000191
52,0.1426620896096925,-0.0038379103903074807,0.2961620896096925,0.1461620896096925,0.9133259504207079,0.7594081682366439,31.27000000000209
56,0.1400825995673427,-0.006417400432657205,0.2935825995673428,0.1435825995673428,0.9226935392003794,0.7617105104231567,32.33000000000214
60,0.1377421739279268,-0.009257826072073205,0.2907421739279268,0.1407421739279268,0.9288106171493976,0.7638912007717802,33.350000000001934
64,0.1356050772401441,-0.011894922759855903,0.2881050772401441,0.1381050772401441,0.9316862095074564,0.7659667789296216,34.31000000000174
68,0.133642686704113,-0.013857313295886992,0.286142686704113,0.136142686704113,0.9324409772393696,0.7679499405542078,35.23000000000156
72,0.1318317643718774,-0.015668235628122584,0.2843317643718774,0.1343317643718774,0.9308699775277418,0.7698507006734344,36.10000000000139
76,0.1301532167816073,-0.017846783218392698,0.2821532167816073,0.1321532167816073,0.9279514500655488,0.7716771502725328,36.970000000001214
80,0.1285911873390907,-0.019408812660909297,0.2805911873390907,0.1305911873390907,0.9236200257651944,0.7734359626125997,37.79000000000105
84,0.127132380777283,-0.020867619222716988,0.279132380777283,0.129132380777283,0.9180121655916004,0.7751327410279572,38.59000000000089
88,0.1257655526154986,-0.022734447384501394,0.27726555261549857,0.1272655526154986,0.9119441942283646,0.7767722636340789,39.43000000000072
92,0.1244811179678746,-0.024018882032125405,0.2759811179678746,0.1259811179678746,0.9052096562705124,0.7783586593600524,40.21000000000057
96,0.1232708480365625,-0.025229151963437488,0.2747708480365625,0.1247708480365625,0.8978758846143456,0.7798955372053873,41.00000000000041
100,0.1221276319441811,-0.0268723680558189,0.2731276319441811,0.1231276319441811,0.8902541734619869,0.7813860829763796,41.90000000000023
104,0.1210452878871717,-0.027954712112828295,0.2720452878871717,0.1220452878871717,0.883010478616409,0.7828331329764985,42.77000000000006
108,0.120018411961505,-0.028981588038494988,0.271018411961505,0.121018411961505,0.8758194744901141,0.7842392310707296,43.749999999999865
112,0.119042256077808,-0.030957743922192,0.26904225607780796,0.119042256077808,0.8788648658765473,0.7856066735529944,50.06999999999861
116,0.118112628564774,-0.03188737143522599,0.268112628564774,0.118112628564774,0.8836176322354004,0.7869375449241842,51.00999999999842
