spins,analytical_gamma,optimum_gamma,fidelity,noiseless_fidelity,naive_fidelity,time,noiseless_time
12,0.2086147880798742,0.2336147880798741,0.8283004188720478,0.8293787255376341,0.7023532419560383,10.639999999999818,10.639999999999818
16,0.1935200512961204,0.2185200512961203,0.8546908909953276,0.8557221911987394,0.7193247745580367,12.479999999999778,12.479999999999778
20,0.1824571005814988,0.2074571005814987,0.8535428141404375,0.8548412454598096,0.7290835688341203,14.029999999999745,14.029999999999744
24,0.1739007664481874,0.1989007664481873,0.8332495470833388,0.8348893470018192,0.7357110717078942,15.339999999999717,15.339999999999716
28,0.167021317242487,0.1886879839091536,0.8035503774596828,0.8052676272281623,0.7407390008464764,16.739999999999817,16.74999999999982
32,0.1613277855665809,0.1679277855665809,0.7840919142115476,0.7887178294708809,0.7448462173744831,24.400000000001015,24.42000000000101
36,0.1565094995216228,0.1622428328549561,0.8207452173343419,0.826041012160833,0.748371525295074,26.09000000000128,26.11000000000128
40,0.1523592014110747,0.1571592014110747,0.8505654055749698,0.8567204251771027,0.7515001097144091,27.57000000000151,27.59000000000152
44,0.148732652074731,0.1532659854080643,0.8744820478712185,0.8810268873840914,0.7543408830976579,28.880000000001715,28.91000000000172
48,0.1455259514583734,0.14939261812504,0.8920080561455517,0.8996409011880399,0.7569619443049683,30.110000000001907,30.13000000000191
52,0.1426620896096925,0.1462620896096925,0.9050371260191511,0.9133458597147424,0.7594081682366439,31.240000000002084,31.27000000000209
56,0.1400825995673427,0.1434159329006761,0.9144696458016902,0.9228276221402985,0.7617105104231567,32.31000000000214,32.340000000002135
60,0.1377421739279268,0.1407421739279268,0.9202136459379379,0.9288106171493976,0.7638912007717802,33.32000000000194,33.350000000001934
64,0.1356050772401441,0.1382717439068107,0.9222873640415771,0.931834739538878,0.7659667789296216,34.27000000000175,34.31000000000174
68,0.133642686704113,0.136042686704113,0.9222160271848322,0.9324099489716478,0.7679499405542078,35.19000000000157,35.23000000000156
72,0.1318317643718774,0.1342317643718774,0.920811751881007,0.9309893047490466,0.7698507006734344,36.060000000001395,36.110000000001385
76,0.1301532167816073,0.1322198834482739,0.9170595707088438,0.9279892455702814,0.7716771502725328,36.910000000001226,36.970000000001214
80,0.1285911873390907,0.1303911873390907,0.9115057149229538,0.9235617826296196,0.7734359626125997,37.74000000000106,37.80000000000105
84,0.127132380777283,0.128932380777283,0.9065803190010289,0.918234300280802,0.7751327410279572,38.5400000000009,38.61000000000089
88,0.1257655526154986,0.1272322192821652,0.8996632065630791,0.9118977069912282,0.7767722636340789,39.35000000000074,39.43000000000072
92,0.1244811179678746,0.1260144513012079,0.8923453726125616,0.9052010531838726,0.7783586593600524,40.12000000000059,40.21000000000057
96,0.1232708480365625,0.1244708480365625,0.8852863683430197,0.8978541828085124,0.7798955372053873,40.940000000000424,41.0500000000004
100,0.1221276319441811,0.1233276319441811,0.8775656781940181,0.8905259401910789,0.7813860829763796,41.73000000000027,41.86000000000024
104,0.1210452878871717,0.1222452878871717,0.8693334661177039,0.8829811510696572,0.7828331329764985,42.550000000000104,42.71000000000007
108,0.120018411961505,0.1208850786281716,0.861609837746943,0.875827374086031,0.7842392310707296,43.5599999999999,43.81999999999985
112,0.119042256077808,0.119042256077808,0.8594065340511182,0.8788648658765473,0.7856066735529944,49.80999999999866,50.06999999999861
116,0.118112628564774,0.1177792952314406,0.8620065035924142,0.8836774542264704,0.7869375449241842,50.92999999999844,51.14999999999839
120,0.1172258126332353,0.1168924792999019,0.8658036437840358,0.8880930002082027,0.7882337467958874,51.76999999999827,51.96999999999823
