spins,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
4,37946432.8716321,0.10000218610303992,15330206.075737365,617779.5040398237,441271.07431415975,864891.305655753,450304.4939590525,0.9996466544332342,0.5708458142291342,9.600000000000008e-06,7.191696890403743e-06
6,37812206.819029905,0.1000121498550288,10657532.409930754,1239788.2435082733,885563.031077338,1735703.5409115823,1005422.642245258,0.9994620445869304,0.7020999277937111,5.299999999999996e-06,4.388973779348749e-06
8,37765012.32296185,0.10005515853872142,8296603.004056727,2048134.3659153983,1462953.1185109988,2867388.1122815576,1750327.5054894658,0.9995480819482081,0.7718028331099661,3.4999999999999974e-06,3.0677603050576046e-06
10,37742392.98530984,0.10001791957296079,6828692.485320201,3052061.6041780077,2180044.0029842914,4272886.245849211,2698559.04680592,0.9996424410124924,0.8149453803921246,2.4999999999999985e-06,2.301662168753201e-06
12,37729891.674485885,0.10006488037633712,5828901.475286705,4232343.514708557,3023102.5105061126,5925280.92059198,3828305.2439469933,0.998958833257814,0.8442902942431236,1.8999999999999992e-06,1.818212286934627e-06
14,37721880.71742352,0.09992776980645807,5069258.364262918,5666155.398837421,4047253.856312444,7932617.558372389,7909129.791167783,0.9995798054775081,0.8655469828694099,2.199999999999999e-06,1.4669334490493337e-06
16,37716961.78406122,0.09988906887097114,4529379.067831493,7175648.124089794,5125462.945778425,10045907.373725712,9985936.484432328,0.9982587426896243,0.8816665263049935,1.7999999999999993e-06,1.2383224097187542e-06
18,37713382.0710683,0.10012381819519992,4076077.5055811144,8925567.068007667,6375405.048576904,12495793.895210732,11964522.101557273,0.9957343725952986,0.8943179296688065,1.5999999999999995e-06,1.0559304399326132e-06
20,37710988.74844265,0.1009719445512895,3726902.7190767513,10675687.524889553,7625491.089206823,14945962.534845373,10025673.31667753,0.9987939127912542,0.9045193714500036,9e-07,9.305806527808505e-07
22,37708970.63673141,0.10050015751060111,3425262.682000916,12815519.11955426,9153942.228253044,17941726.767375965,16898351.678794727,0.9982550682609854,0.9128983800147773,1.2e-06,8.130364426826834e-07
24,37707222.18736508,0.09833634547302089,3161647.67927577,15535127.307691805,11096519.505494146,21749178.230768524,20482622.941654086,0.9993609783337655,0.9199008994180948,1e-06,7.005282911339245e-07
26,37706269.26409573,0.0998387771504375,2960453.9752684766,17556195.488382626,12540139.634559019,24578673.683735672,23104880.226431094,0.9971164708040207,0.9258868538081605,9e-07,6.451952193534443e-07
28,37705360.43878522,0.09967248824174786,2781611.189932981,20066306.13481696,14333075.810583543,28092828.588743743,19251327.71783613,0.9962219573423007,0.9310236982664923,5e-07,5.857960742532159e-07
30,37704491.55629689,0.09961614728194514,2592936.2143869833,23263546.662523285,16616819.04465949,32568965.327532593,30344063.36306544,0.9917127787126555,0.9354919206405873,7e-07,5.230215411445395e-07
32,37704054.48060692,0.10299214734505233,2449784.351591553,25272832.009466913,18052022.863904938,35381964.81325367,32088554.669516914,0.9992886201615203,0.9394296971883079,7e-07,4.97228431291434e-07
34,37703576.58208985,0.1043621322692445,2319944.8477784544,27935192.446545765,19953708.890389834,39109269.42516407,26830216.08656414,0.9949601934558547,0.9429023011439245,4e-07,4.636845931239276e-07
36,37702749.179899596,0.09397608146671209,2226573.672497269,34268787.43618027,24477705.311557338,47976302.41065237,33143606.38310077,0.9991502322380102,0.9459568267931153,3e-07,3.889442787929808e-07
38,37702886.143642105,0.10706203334835916,2117152.9013584764,32960406.210943576,23543147.293531127,46144568.69532101,40572465.70324853,0.9827294155205137,0.9487681257646272,6e-07,4.1546468848496845e-07
40,37702138.463190846,0.0963310586625225,2016478.4471859445,41086123.0608942,29347230.757781573,57520572.28525186,53162181.96067688,0.9565740589755454,0.9512442812183224,4e-07,3.419555902429232e-07
42,37702312.36647526,0.10858727089696403,1945856.1543771382,38790967.2463028,27707833.74735914,54307354.144823916,48056543.41051836,0.9993079236860832,0.9535317886960002,5e-07,3.711324351976441e-07
44,37701848.36184445,0.10293020262436926,1858910.6953071095,45343856.855619356,32388469.182585254,63481399.59786709,56950205.324901074,0.988543944173844,0.9555890433225857,4e-07,3.2496961474323627e-07
46,37701960.48461231,0.11603744714961291,1778056.8576998126,43497077.86013773,31069341.328669813,60895909.00419282,60167211.25692348,0.9944447856919287,0.9574786043190003,6e-07,3.463807184919221e-07
48,37701813.01063473,0.11756591545398407,1722912.6929953285,45837226.40853518,32740876.00609656,64172116.97194926,62197378.31623712,0.978264383560878,0.9592069291469602,6e-07,3.357663446904488e-07
50,37699114.98467017,1.1647413883085542e-22,1651773.679520473,39571646689.06211,28265461920.75865,55400305364.68696,43285599151.689674,0.0,0.9604011895347512,0.0,3.969499523579533e-10
52,37700866.07025299,0.09150236538056994,1604167.1570190943,70574124.16616324,50410088.69011661,98803773.83262853,83702512.25026023,0.9396715712786721,0.9622774158741476,3e-07,2.269818071946321e-07
