spins,minimum_mu,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
4,37884220.856605686,37947835.00018087,0.1000019969876239,15373757.79754329,38392.84840375453,27423.46314553895,53749.98776525633,30562.548289482093,0.999110929840846,0.5708457990778287,0.0001501000000000028,0.0001157216284510916
6,37799872.42750728,37813812.87942332,0.1013418868221327,10657532.409930686,33936.80321951005,24240.57372822147,47511.52450731407,28843.021432923608,0.9978142967936695,0.7021938777449048,0.00019010000000000378,0.00016033914737067595
8,37764557.76243978,37764617.67682821,0.0994980077397026,8296603.004056687,32200.752007313047,23000.53714808075,45081.05281023827,28534.99825342517,0.9980994027011167,0.7717719427963451,0.00022170000000000455,0.00019512542147315766
10,37745941.13093159,37746404.71904533,0.1085275930412556,6828692.485320178,27869.68427252248,19906.917337516057,39017.55798153147,25286.846756147366,0.9981604864552357,0.8153060177645511,0.0002794000000000059,0.0002520593582025862
12,37734736.08934081,37735048.27038281,0.1152933787612641,5828901.475286691,25090.983085132408,17922.130775094578,35127.37631918537,23083.332599968577,0.9983231889320281,0.8447867147649701,0.00033470000000000727,0.00030669579405722894
14,37727381.82298879,37727381.82298879,0.120633788017319,5092946.4874604,23194.65171329591,16567.608366639935,32472.512398614268,21594.135982748146,0.99846716333986,0.8660710485210873,0.00038660000000000853,0.0003583529938197543
16,37722250.46976854,37722250.46976854,0.1263135346001621,4529379.067831489,21531.63211815994,15379.737227257103,30144.284965423914,20186.829141694005,0.9985291035603654,0.8821869538497835,0.00044160000000000987,0.00041268426970858426
18,37718503.22659226,37718503.22659226,0.1307894077490793,4096256.107093891,20184.61358102611,14417.581129304364,28258.45901343655,19061.178297613198,0.9985852888359358,0.8947893417258159,0.0004963000000000068,0.00046692882788842863
20,37715668.4965774,37715751.12239712,0.1365635668897507,3726902.7190767513,18964.191454544543,13545.851038960387,26549.868036362357,18000.924210238612,0.9985711515783514,0.904939542526958,0.0005539999999999769,0.0005238603654476076
22,37713462.88827319,37713462.88827319,0.140501936976835,3425262.682000916,18106.23073849097,12933.021956064978,25348.723033887356,17295.4758411341,0.998579665777026,0.9132632985633112,0.0006056999999999502,0.0005754640060973124
24,37711706.91613124,37711706.91613124,0.1441704993945381,3178287.930219326,17283.826389950696,12345.59027853621,24197.35694593097,16548.043140077716,0.9985941699251019,0.9202247321737316,0.0006604999999999218,0.0006296520191693705
26,37710281.95517363,37710281.95517363,0.1481451351904275,2960453.9752684766,16563.516904257136,11831.083503040813,23188.92366595999,15930.338145585314,0.9985779500489467,0.926134482049155,0.0007149999999998936,0.000683862821199988
28,37709106.790327154,37709106.790327154,0.1509965304548813,2781611.189932981,15927.89717550436,11377.069411074544,22299.056045706104,15337.501741949523,0.9986001719292624,0.9312120494777528,0.0007698999999998651,0.0007379984456841384
30,37708124.14372701,37708124.14372701,0.155456704641231,2607183.1166638355,15357.987915288646,10969.99136806332,21501.183081404106,14806.049999695615,0.9985559727664759,0.9356220495826806,0.0008248999999998367,0.0007922480532627868
32,37707292.5829978,37707292.5829978,0.1586689639081662,2463394.2646559505,14846.601880907167,10604.715629219407,20785.242633270034,14348.893386882955,0.9985609462439787,0.9394884355252384,0.0008794999999998084,0.0008464139279251242
34,37706581.47458745,37706581.47458745,0.1620232660911599,2332978.245799682,14382.884016191509,10273.488582993934,20136.03762266811,13941.536546617508,0.9985583758170287,0.942905015138223,0.0009339999999997802,0.0009005925604929608
36,37705967.73246745,37705967.73246745,0.1639525033303708,2226573.672497269,13961.473765958512,9972.481261398938,19546.063272341915,13567.990555598535,0.9985587760901928,0.9459522779013364,0.0009882999999997648,0.0009546734848991088
38,37705433.663548805,37705433.663548805,0.1675239281844311,2117152.9013584764,13573.44872223102,9695.3205158793,19002.828211123426,13192.877926797304,0.9985461911377823,0.9486754497505512,0.001043299999999796,0.0010088729238236572
40,37704965.50405928,37704965.50405928,0.1695922544240708,2028067.4037789672,13217.354169724736,9440.967264089099,18504.29583761463,12858.664306690402,0.9985468520134794,0.95113671157196,0.001097999999999827,0.0010629683733725695
42,37704552.4032481,37704552.4032481,0.1717104000446807,1945856.1543771385,12887.815318627112,9205.582370447937,18042.941446077955,12571.597297708227,0.9985463473842886,0.9533665258424464,0.0011521999999998577,0.0011170695561554663
44,37704185.703765,37704185.703765,0.1755448895908701,1858910.6953071093,12580.400021086372,8986.000015061694,17612.56002952092,12263.953270410688,0.99851545952364,0.9553838552511004,0.001207399999999889,0.0011712962758453377
46,37703858.42308734,37703858.42308734,0.177773967217913,1788516.0156862822,12295.106522331444,8782.21894452246,17213.149131264017,12003.262535813932,0.9985289907861833,0.9572374287439266,0.0012618999999999198,0.0012254102113006021
48,37703564.87386043,37703564.87386043,0.1800414700091373,1722912.6929953285,12028.329458616228,8591.663899011593,16839.66124206272,11774.926832777526,0.9985115518371712,0.9589376720132444,0.0013159999999999505,0.001279529132860395
50,37703300.3819167,37703300.3819167,0.182346125401806,1661605.6657080948,11778.149565586966,8412.963975419261,16489.40939182175,11511.088936541266,0.9985340185071099,0.9605026189226212,0.0013713999999999818,0.001333652895174978
