spins,mu,alpha,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,z_trap_frequency,switch_time
4,38220869.00677775,0.20000046995461115,274880.70733110735,196343.3623793624,384832.99026355025,196357.4973633016,0.9985573987133523,0.5783112093967233,2.206000000000095e-05,15330206.075737365,1.6162949307339693e-05
6,37941387.63042369,0.19999229380089417,553344.282831917,395245.91630851215,774681.9959646838,439469.97969057213,0.9985703438064307,0.7085418085058126,1.2209999999999893e-05,10657532.409930754,9.833657383888655e-06
8,37841527.505996525,0.19995595133339567,915787.9199004985,654134.2285003561,1282103.0878606979,767663.3298742599,0.9990285769841829,0.7766123422545089,8.129999999999932e-06,8296603.004056727,6.860961114077877e-06
10,37793456.300644204,0.20022988605022868,1361932.1062635502,972808.6473311073,1906704.94876897,1179148.960495516,0.9986085080915968,0.8184771361451404,5.939999999999953e-06,6828692.485320201,5.1579771845699785e-06
12,37766299.54929842,0.19970401369248744,1894982.3539299038,1353558.8242356456,2652975.2955018654,2639617.3170316117,0.9981131222679405,0.8468638760745171,6.559999999999947e-06,5828901.475286705,4.0608816039961055e-06
14,37749220.67656005,0.20015641213229698,2524421.4844959322,1803158.2032113802,3534190.0782943047,3455166.945482973,0.9989944209546213,0.8674381434781665,5.329999999999959e-06,5069258.364262918,3.2925852252147857e-06
16,37738486.95156412,0.19992940884583454,3197716.9682924733,2284083.5487803384,4476803.755609462,4313434.011405738,0.999520954664188,0.8830408991875941,4.499999999999967e-06,4529379.067831493,2.77878435284458e-06
18,37730721.79422731,0.20058861229475777,3968573.4289573226,2834695.306398088,5556002.800540252,5284850.678475616,0.9993520159463187,0.8952990621845902,3.849999999999973e-06,4076077.5055811144,2.3748528607282404e-06
20,37725428.87625835,0.20178160581375712,4752413.989393964,3394581.4209956895,6653379.58515155,6253034.1456673965,0.9986666965944638,0.9051853101491014,3.3999999999999776e-06,3726902.7190767513,2.0904298926750225e-06
22,37720760.44086126,0.19911107145907683,5766159.485531853,4118685.346808467,8072623.279744593,7515524.445453596,0.9979859050303159,0.9133462645152041,2.939999999999982e-06,3425262.682000916,1.8070058766564363e-06
24,37717517.10028263,0.20028787757847566,6768226.325783804,4834447.37555986,9475516.856097326,8791406.188277349,0.997226578770551,0.9201821335061081,2.5999999999999853e-06,3161647.67927577,1.6079243898725576e-06
26,37715078.4721681,0.19994857793808807,7789634.92054235,5564024.9432445355,10905488.888759289,7354639.475824768,0.9964602938472875,0.9260081496254542,1.5499999999999951e-06,2960453.9752684766,1.454134053095049e-06
28,37713250.55982615,0.20173054343195865,8782837.562060215,6273455.401471582,12295972.586884301,8321690.738580866,0.9971474602461121,0.9310133193875273,1.4199999999999964e-06,2781611.189932981,1.338378772860015e-06
30,37710938.49674938,0.1967589841009367,10492512.667633547,7494651.905452534,14689517.734686963,9978532.431178302,0.9980670866352105,0.9354274971953735,1.2299999999999982e-06,2592936.2143869833,1.1596208089844532e-06
32,37709644.52666039,0.1974917293812713,11768095.586017927,8405782.561441377,16475333.820425097,11222484.471637487,0.9985669885200401,0.9392666028227286,1.1299999999999991e-06,2449784.351591553,1.0678338327987157e-06
34,37709033.00153,0.20651128860928405,12471852.061829235,8908465.758449454,17460592.886560928,11914935.481028432,0.9988032876978633,0.9425812723048301,1.0899999999999995e-06,2319944.8477784544,1.0385881967810453e-06
36,37707844.190453954,0.2000702558190213,14165932.444231428,10118523.174451021,19832305.421924,13561150.41905186,0.9991202489517002,0.9456882798520176,9.900000000000005e-07,2226573.672497269,9.408945628498118e-07
38,37707229.10240938,0.20549206248888102,15221612.151500078,10872580.108214343,21310257.012100108,14589889.323752644,0.9992247734684666,0.9483580938062287,9.400000000000007e-07,2117152.9013584764,8.996343332409879e-07
40,37706085.19833277,0.19756611548699812,17717371.14188317,12655265.101345124,24804319.598636437,17039921.924431153,0.9990757399887842,0.9509092355804026,8.200000000000006e-07,2016478.4471859445,7.929861235941872e-07
42,37705675.05740415,0.20008418540330997,18809599.06412633,13435427.902947381,26333438.689776864,18116918.199760396,0.9989073178051312,0.9531200849894303,7.900000000000006e-07,1945856.1543771382,7.653850615694185e-07
44,37704959.79706822,0.19704201800082224,21102723.90574436,15073374.218388828,29543813.468042098,20365409.23293871,0.9987743466317766,0.9551929607500449,7.200000000000005e-07,1858910.6953071095,6.98268894535078e-07
46,37704193.544599235,0.189745075962883,24283183.159329172,17345130.828092266,33996456.42306084,23471053.403646775,0.9985659735415108,0.9571343790955343,6.400000000000004e-07,1778056.8576998126,6.204519803947236e-07
48,37703987.65109667,0.19378269597659606,25290004.96485242,18064289.26060887,35406006.95079338,24456445.720305637,0.9980237151627838,0.9588120397062462,6.300000000000004e-07,1722912.6929953285,6.08564450000383e-07
50,37703947.22318688,0.2065689188248201,25471173.907577626,18193695.64826973,35659643.470608674,24649433.806770973,0.9975802087740218,0.9602531915637043,6.300000000000004e-07,1651773.679520473,6.166956939222921e-07
52,37703528.16471105,0.2020179775081333,27884521.67037566,19917515.47883976,39038330.33852592,27009309.925244514,0.9975934786203223,0.9617719822273292,5.900000000000004e-07,1604167.1570190943,5.744779284283947e-07
