spins,minimum_mu,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
4,37884220.856605686,38530879.692763954,0.3000169503546794,15373757.79754329,10092.614180595809,7209.010128997007,14129.659852834133,7209.010128997007,0.9957780670792352,0.5848865154474018,0.0006052999999999,0.0004402113128133
6,37799872.42750728,38090686.87375966,0.3005265757278029,10657532.409930686,9059.333509946377,6470.952507104555,12683.066913924924,7023.684406885148,0.9964920691533256,0.7136602311450655,0.0007601999999998,0.0006006400014668
8,37764557.76243978,37931401.46148251,0.3000361632615939,8296603.0040566875,8445.287060253993,6032.347900181424,11823.40188435559,6919.110844715603,0.9974308716677591,0.779783969869071,0.0009007999999997974,0.0007439871803470253
10,37745941.130931586,37854922.81189167,0.3014757328856476,6828692.485320178,7989.104840838372,5706.503457741695,11184.746777173721,6768.731934951393,0.996706027357388,0.820179770610453,0.0010347999999997912,0.0008792993546825887
12,37734736.08934081,37809716.79407213,0.2985813186595932,5828901.475286691,7786.919402310091,5562.085287364352,10901.687163234128,6747.212343595794,0.9946643463894903,0.8475240502888576,0.0011393999999998504,0.0009882340606592478
14,37727381.822988786,37782976.53185049,0.2997104903219575,5092946.4874604,7520.88781442767,5372.062724591193,10529.242940198737,6629.88549081097,0.9919018396915357,0.867337926826214,0.0012557999999999164,0.0011051717679023251
16,37722250.46976854,37764872.174945146,0.30008054808570944,4529379.067831489,7328.238716019181,5234.456225727987,10259.534202426854,6557.878172034852,0.9893212485298997,0.8823959301572248,0.001362999999999977,0.0012125377216346501
18,37718503.22659226,37752396.73794813,0.30003642918826573,4096256.107093891,7135.569729464186,5096.835521045848,9989.79762124986,6468.563020136222,0.9874344498879605,0.8942589988237185,0.0014731000000000394,0.0013208164614876648
20,37715668.4965774,37743013.37596258,0.30081242032453015,3726902.7190767513,7006.455703501847,5004.611216787033,9809.037984902585,6412.489567635666,0.9863936286161599,0.903837934238099,0.001573000000000096,0.0014179192285238833
22,37713462.88827319,37736157.96350089,0.30223401472163147,3425262.682000916,6854.451651986463,4896.036894276046,9596.232312781049,6326.546272677163,0.9862232197804235,0.9117330287299257,0.0016800000000001566,0.0015201046859925958
24,37711706.916131236,37730985.94238447,0.3035675062791032,3178287.9302193266,6688.26962898539,4777.335449275279,9363.577480579546,6212.32108803701,0.9868924805648931,0.9183686757721181,0.0017933000000002208,0.0016271467493238943
26,37710281.95517363,37726140.58929806,0.29993677432494387,2960453.9752684766,6720.320394406928,4800.228853147806,9408.448552169699,6279.870331663578,0.9887455515658556,0.9241850241164665,0.0018509000000002534,0.00168551091828392
28,37709106.790327154,37722808.8872054,0.29970522343675626,2781611.189932981,6606.142726486141,4718.67337606153,9248.599817080598,6194.141987386423,0.9905171790648201,0.9291241482756473,0.0019487000000003088,0.0017793686641692414
30,37708124.14372701,37719477.63250359,0.29617297797511905,2607183.1166638355,6696.075687793364,4782.911205566689,9374.505962910709,6311.892673817203,0.9926727357623745,0.9335456286223911,0.0019819000000002654,0.0018170846022695542
32,37707292.5829978,37717583.46799743,0.3006515326733067,2463394.2646559505,6482.6818557312345,4630.487039808025,9075.754598023728,6131.630876490281,0.994025410661393,0.9371989803635659,0.002109400000000061,0.0019384524636589173
34,37706581.47458745,37715489.16495191,0.29921099786238203,2332978.245799682,6475.726175314978,4625.518696653556,9066.016645440968,6139.995182260773,0.9956358251444587,0.9406209567785051,0.0021685999999999663,0.002000257267330355
36,37705967.73246745,37713863.5348781,0.29780731809641753,2226573.672497269,6411.763813671535,4579.831295479668,8976.469339140149,6086.5203187601865,0.9968810284420344,0.9436861264188073,0.002245599999999843,0.002078780379597729
38,37705433.663548805,37712767.02816154,0.3037040064734986,2117152.9013584764,6211.287280198375,4436.633771570268,8695.802192277724,5903.874639705407,0.9975107772436396,0.9462067897219382,0.002376599999999633,0.00220467743335973
40,37704965.50405928,37711230.40126314,0.2975029857973613,2028067.4037789672,6318.889107787832,4513.492219848452,8846.444750902965,6022.732541858962,0.9981792831213823,0.9488740308309329,0.00238479999999962,0.002223433458385229
42,37704552.4032481,37710293.378878534,0.29879797184874246,1945856.1543771382,6209.580050722961,4435.4143219449725,8693.412071012144,5933.322319278515,0.9983123942186628,0.9510699538407975,0.0024785999999994697,0.00231844762772907
44,37704185.703765,37709273.946146525,0.29869773392889204,1858910.6953071095,6224.304957626133,4445.932112590095,8714.026940676586,5950.694258371903,0.998178263647109,0.953118395921147,0.002523399999999398,0.0023673929528933223
46,37703858.42308734,37708765.92592009,0.3048703328033862,1788516.0156862822,5990.249582705317,4278.749701932369,8386.349415787443,5735.801935078391,0.9977961057012238,0.9547911006377583,0.0026758999999991536,0.0025151788541487165
48,37703564.87386043,37707747.18245823,0.2978806192039604,1722912.6929953285,6153.089590363464,4395.06399311676,8614.325426508847,5908.563669361777,0.9972667078181899,0.9567489375374544,0.0026502999999991946,0.0025012796800563475
50,37703300.3819167,37707206.505036995,0.3001740970748725,1661605.6657080948,6047.412283179891,4319.5802022713515,8466.377196451847,5805.30329542842,0.9965791888578991,0.9582729669586066,0.0027475999999990387,0.0025974685588476694
