spins,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time,minimum_mu
4,38864774.54885304,0.3994807435286649,15330206.075737365,107698.36576178148,76927.40411555821,150777.71206649407,76930.57001335509,0.99102306607793,0.5905514665034143,5.707000000000655e-05,4.125302094170676e-05,
6,38260984.57546338,0.3998242360940136,10657532.409930754,215833.01005472685,154166.4357533763,302166.2140766176,163438.84344215356,0.9933539539014336,0.7172757589510282,3.2470000000002615e-05,2.5211148615880984e-05,
8,38037665.66561774,0.4001584453501237,8296603.004056727,355504.5766028047,253931.8404305748,497706.40724392654,284563.5511691135,0.9946549383740688,0.7810335429001326,2.183000000000092e-05,1.7673992743557876e-05,
10,37927354.82123101,0.4007017605371961,6828692.485320201,526452.1401579888,376037.2429699921,737032.9962211843,435097.5496922059,0.9937878989760924,0.8195889082222835,1.6029999999999987e-05,1.3343691088296408e-05,
12,37863979.940203644,0.4000015773481934,5828901.475286705,729166.2618797455,520833.0441998182,1020832.7666316436,617087.3376475029,0.9906608742652808,0.8456435563396697,1.2409999999999891e-05,1.0553558746853124e-05,
14,37823171.20176444,0.4001251252367056,5069258.364262918,969693.1080296072,692637.9343068622,1357570.3512414498,838563.4248376191,0.9861246540870128,0.8645227862089933,9.909999999999915e-06,8.571653044905729e-06,
16,37798189.99251036,0.4015842856612547,4529379.067831493,1214709.0764976875,867649.340355491,1700592.7070967625,1063721.1745273927,0.9811325176152536,0.8788382605111295,8.35999999999993e-06,7.3151391129278755e-06,
18,37778543.563288815,0.4000933294387199,4076077.5055811135,1516998.2133648847,1083570.1524034892,2123797.498710838,1347924.624402375,0.9768721542861584,0.8902928680947058,7.039999999999943e-06,6.212781187041801e-06,
20,37764991.3411938,0.3991064876893087,3726902.7190767513,1830839.6007898664,1307742.5719927617,2563175.441105813,1644285.8558786502,0.9737230049950868,0.8996005614153577,6.109999999999952e-06,5.426247204566742e-06,
22,37754832.6385577,0.4004572711400028,3425262.682000916,2165469.9779286324,1546764.2699490231,3031657.969100085,1964845.183356773,0.971705862272358,0.9071977928487516,5.399999999999959e-06,4.811650210944512e-06,
24,37747132.87704164,0.4043196912391675,3161647.67927577,2512356.822262836,1794540.5873305972,3517299.55116797,2302699.378840758,0.9707213324948636,0.9134286547266876,4.859999999999964e-06,4.331708015744102e-06,
26,37741093.18275231,0.4043843572491794,2960453.9752684766,2875475.654853763,2053911.1820384024,4025665.916795268,2652894.147326163,0.9719305660000734,0.918991105670376,4.419999999999968e-06,3.939234672364158e-06,
28,37735691.29078345,0.4018090354845512,2781611.189932981,3303355.039644,2359539.3140314287,4624697.055501599,3067545.9889059123,0.9748893496115416,0.9240121298691888,3.989999999999972e-06,3.558431720922677e-06,
30,37730010.94433883,0.3954384315651194,2592936.214386984,3916503.44100444,2797502.4578603143,5483104.817406216,3657354.483303941,0.979308623072654,0.9287075857988762,3.469999999999977e-06,3.1066833493705188e-06,
32,37727091.17406412,0.3997031429243073,2449784.351591553,4323935.863199321,3088525.6165709435,6053510.208479049,4053683.13523326,0.9819159166700449,0.9321731295088612,3.239999999999979e-06,2.906234276347753e-06,
34,37724005.33826556,0.3983772489158069,2319944.8477784544,4862629.185541073,3473306.5611007665,6807680.859757502,4573183.780831747,0.9855556569907256,0.9356257621886944,2.959999999999982e-06,2.6638096077593206e-06,
36,37721965.533389896,0.3981685717215046,2226573.672497269,5298443.790318979,3784602.7073706994,7417821.30644657,4986789.544523856,0.9887099471232422,0.9386581258623522,2.7899999999999835e-06,2.5155780342198705e-06,
38,37719472.71440303,0.395155919589969,2117152.9013584764,5951254.207773858,4250895.862695613,8331755.890883401,5615873.014835367,0.991734110439402,0.9415964963384498,2.539999999999986e-06,2.301008227959744e-06,
40,37718146.92935539,0.4030369357828544,2016478.4471859443,6360862.2188192485,4543473.013442321,8905207.106346948,6018329.873878772,0.993195126004546,0.9435157902467706,2.429999999999987e-06,2.2087617965555387e-06,
42,37717050.60552544,0.4064494871887232,1945856.1543771385,6748461.660635126,4820329.757596518,9447846.324889176,6390683.27202026,0.9947288948011904,0.9455303403430664,2.339999999999988e-06,2.1333137627157366e-06,
44,37715332.61781858,0.404664858357323,1858910.6953071093,7466788.006590909,5333420.004707793,10453503.209227271,7079383.417766815,0.9960871171701242,0.9477407045177526,2.1499999999999896e-06,1.973455745674875e-06,
46,37713570.90805984,0.3988510172685414,1778056.8576998126,8384175.329824384,5988696.664160274,11737845.461754136,7960999.074753547,0.9969116675793456,0.9500687623726364,1.9499999999999915e-06,1.7970221862964276e-06,
48,37705395.0283847,0.23628686054387885,1722912.6929953285,19572606.252252746,13980433.037323391,27401648.753153846,18887125.190161698,0.9975902454433275,0.958233096901654,8.200000000000006e-07,7.863336013399318e-07,37705395.0283847
50,37711604.06052256,0.3999928737495152,1651773.679520473,9706616.012050884,6933297.151464918,13589262.416871238,9233286.248457916,0.996693852821041,0.9533953624045687,1.7399999999999933e-06,1.6182738915856293e-06,37705395.0283847
52,37711108.84328962,0.4046852639048492,1604167.1570190943,10103976.162505098,7217125.830360784,14145566.627507135,9632405.094467755,0.9960445303391372,0.954591569982524,1.6999999999999937e-06,1.585419639434547e-06,
