spins,minimum_mu,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
4,37884220.856605686,39247383.54183192,0.5000288785253951,15330206.075737365,4719.897069989258,3371.355049992327,6607.85589798496,3371.355049992327,0.9843109553335015,0.5954243704308049,0.0013093200000002,0.0009413092854095
6,37799872.42750728,38460332.59575692,0.4999917057435927,10657532.409930754,4183.071915186971,2987.9085108478366,5856.30068126176,3087.8744612892447,0.9890572210189564,0.7194238137936094,0.0017064799999978,0.0013008139001739
8,37764557.76243978,38164647.62855545,0.5006067480256704,8296603.004056727,3853.8230761820423,2752.7307687014595,5395.35230665486,3013.208628880199,0.9903457029623708,0.7801335254885206,0.0020581799999957,0.001630377208028
10,37745941.130931586,38015147.20507636,0.4999605265698577,6828692.485320201,3652.5844349514914,2608.988882108208,5113.618208932087,2948.943209792751,0.989444212410394,0.8163517745698264,0.0023630699999939,0.0019232449943717
12,37734736.08934081,37929934.63641602,0.4999181486966528,5828901.475286705,3490.165474947441,2492.9753392481725,4886.231664926418,2888.075399937225,0.985578367026098,0.8406432859562442,0.0026508299999922,0.0022048521871551
14,37727381.822988786,37874048.780270696,0.4999930345695548,5069258.364262918,3398.043591002163,2427.173993572974,4757.2610274030285,2862.489904279482,0.9795258108264256,0.8582253784104613,0.0028901699999908,0.0024460760021076
16,37722250.46976854,37839245.0407292,0.500616153435887,4529379.067831493,3259.087743106409,2327.919816504578,4562.722840348973,2786.0732428298443,0.9722053317335536,0.8715917228001534,0.0031772499999891,0.0027264580081072
18,37718503.22659226,37812491.50441735,0.5000131346157582,4076077.5055811135,3193.3770512146702,2280.983608010479,4470.727871700537,2771.8456033229672,0.9646749260240248,0.8822990110326424,0.0034019999999877,0.0029513514406901
20,37715668.4965774,37793974.94233637,0.5000011088327218,3726902.7190767513,3099.85052522017,2214.1789465858355,4339.790735308237,2718.6191592057853,0.957621117891369,0.8909974934653382,0.0036677499999861,0.0032048604230974
22,37713462.88827319,37779288.17016152,0.4999640217191842,3425262.682000916,3038.22970617908,2170.1640758422,4253.521588650711,2695.154470844644,0.951788572205188,0.8982670571090414,0.0039098099999847,0.0034294589559516
24,37711706.916131236,37767465.007778354,0.4999648601290131,3161647.67927577,3000.6226965793367,2143.3019261280974,4200.871775211071,2696.5553655415324,0.9478501200480072,0.9044472374955642,0.0041344499999834,0.0036268459202856
26,37710281.95517363,37759126.00017452,0.5002037073370403,2960453.9752684766,2916.98408735388,2083.560062395629,4083.777722295432,2651.392289151957,0.9461831787312244,0.9097531263098784,0.0044401199999816,0.0038831797020237
28,37709106.790327154,37752135.307845205,0.5002838647049171,2781611.189932981,2851.1640118471623,2036.545722747973,3991.629616586027,2611.862512896756,0.9470780902086012,0.914405983363368,0.0047347699999798,0.0041227945182022
30,37708124.14372701,37745120.93487443,0.4997711879698665,2592936.214386984,2866.679688146296,2047.628348675926,4013.351563404814,2647.693019784484,0.9504284585692496,0.9185905863572524,0.0048947399999789,0.004244400264959
32,37707292.5829978,37740295.03805195,0.5004140442600956,2449784.351591553,2817.926373359735,2012.8045523998103,3945.096922703629,2619.368283535113,0.9549268718074836,0.9221768533287552,0.0051567299999773,0.0044594389453038
34,37706581.47458745,37736024.1343168,0.5001582653570462,2319944.8477784544,2788.2540986203344,1991.610070443096,3903.555738068468,2598.332761410452,0.960633927742182,0.9255061548628768,0.005374529999976,0.0046456018301289
36,37705967.73246745,37733551.79077464,0.5034785238152539,2226573.672497269,2666.617475196373,1904.7267679974095,3733.264465274922,2488.8256815116883,0.9653991006860216,0.928038135104012,0.0057847799999736,0.0049983355087304
38,37705433.663548805,37729539.12138712,0.4972814592586729,2117152.9013584764,2714.5558930420493,1938.9684950300352,3800.378250258869,2547.9774295931,0.9730401668856686,0.9315775298858328,0.0058046799999735,0.0050446133505181
40,37704965.50405928,37726992.055543095,0.4998395826214881,2016478.4471859443,2674.738222987211,1910.5273021337223,3744.6335121820953,2510.3490280732067,0.9776089458507736,0.9337146419590296,0.0060311899999721,0.0052527119631133
42,37704552.4032481,37725061.65065791,0.4996513478551587,1945856.1543771385,2608.6346316482523,1863.310451177323,3652.088484307552,2455.037930208231,0.9823160410642788,0.9360150106012132,0.0063069499999705,0.0055188204446615
44,37704185.703765,37723126.85429259,0.5031787189114203,1858910.6953071093,2568.7180261955023,1834.7985901396448,3596.2052366737034,2419.7804403587897,0.985648481571276,0.9376338481504124,0.0065351299999691,0.0057364706998095
46,37703858.42308734,37721256.628381446,0.5051087630232949,1778056.8576998126,2549.6294114748825,1821.163865339202,3569.4811760648354,2403.0618342143243,0.9887364687865774,0.9393097154254963,0.0067043799999681,0.0059093094132366
48,37703564.87386043,37719643.16549222,0.5017933636162515,1722912.6929953285,2528.5141183055416,1806.081513075387,3539.9197656277584,2379.969978048451,0.9917971915270348,0.9415713449323926,0.0068627899999672,0.0060868151182229
50,37703300.3819167,37717806.49881781,0.499349955075239,1651773.679520473,2561.6525036043704,1829.751788288836,3586.3135050461187,2413.1299935201446,0.9938764688181376,0.943583717294026,0.0068689999999671,0.0061319649116525
52,37703061.0740824,37716822.15148025,0.5004053418220353,1604167.1570190943,2500.95675243742,1786.3976803124433,3501.339453412388,2357.3990773150454,0.9949588826815136,0.9450143847565267,0.007139959999965577,0.006405165634632431
