spins,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
4,2.5372218575597982e-09,6.903972591835882e-25,15330206.075737365,2.5372218575597982e-09,315305497.4740794,492664839.803249,373779462.7073445,0.0,0.5625153973758166,0.0
6,1.595541008163637e-09,1.1781919757938835e-17,10657532.409930754,1.595541008163637e-09,501397329.1233345,783433326.7552102,685304065.1647241,0.0,0.6944625187461075,0.0
8,2.25629554044644e-11,3.428279324781992e-05,8296603.004056727,2.25629554044644e-11,35456348056.323715,55400543838.0058,43960976653.83059,0.0,0.7656253472235663,0.0
10,2.320761804267122e-11,5.342290118667346e-17,6828692.485320201,2.320761804267122e-11,34471439444.111046,53861624131.423515,43567413307.31114,0.0,0.8100004346531278,0.0
12,2.3637395022630635e-11,3.203589379651496e-24,5828901.475286705,2.3637395022630635e-11,33844677014.28493,52882307834.8202,45810964858.75131,0.0,0.8402782864505492,0.0
14,2.394438074985788e-11,6.1645314557442506e-24,5069258.364262918,2.394438074985788e-11,33410761729.75358,52204315202.73997,43111723203.27693,0.0,0.8622454776245667,0.0
16,2.4174620363988072e-11,3.3088032295688053e-23,4529379.067831493,2.4174620363988072e-11,33092556902.847034,51707120160.698494,36409855407.15503,0.0,0.878906882865416,0.0
18,2.4353697628519388e-11,9.794514984387373e-16,4076077.5055811144,2.4353697628519388e-11,32849221182.050007,51326908096.953125,44548468988.73514,0.0,0.8919759968853284,0.0
20,2.4496959618128486e-11,6.89143410726818e-17,3726902.7190767513,2.4496959618128486e-11,32657113881.511078,51026740439.86105,48378118156.030205,0.0,0.9025007318239964,0.0
22,2.4614175290309753e-11,3.06550716680161e-24,3425262.682000916,2.4614175290309753e-11,32501596765.46013,50783744946.03145,36377111171.14065,0.0,0.9111578013222673,0.0
24,2.4711856217179113e-11,2.2660713478998834e-16,3161647.67927577,2.4711856217179113e-11,32373124583.164997,50583007161.19531,36815129594.339005,0.0,0.9184036006043799,0.0
26,2.4794508875268095e-11,3.8112915982460713e-16,2960453.9752684766,2.4794508875268095e-11,32265208559.86706,50414388374.79229,41521155058.16379,0.0,0.9245570657117343,0.0
28,7.516804396732814e-10,6.50611453859219e-25,2781611.189932981,7.516804396732814e-10,1064282050.9573468,1662940704.6208541,1339530713.3851972,0.0,0.929873481917195,0.0
30,2.4926757134401815e-11,2.920461520969157e-23,2592936.2143869833,2.4926757134401815e-11,32094026338.304043,50146916153.60007,34165058093.21157,0.0,0.9344453773136303,0.0
32,2.4980483302645826e-11,1.4641960900376834e-15,2449784.351591553,2.4980483302645826e-11,32025000890.005497,50039063890.63358,34761921807.82965,0.0,0.9384775267155199,0.0
34,2.5027889462494044e-11,7.230055346757134e-24,2319944.8477784544,2.5027889462494044e-11,31964341268.12224,49944283231.440994,33870954951.7396,0.0,0.942042518539954,0.0
36,2.507002639794543e-11,3.700603304376942e-23,2226573.672497269,2.507002639794543e-11,31910616578.59134,49860338404.048965,33668753264.785534,0.0,0.9452170548726821,0.0
38,2.5107730788624428e-11,4.441993583065591e-15,2117152.9013584764,2.5107730788624428e-11,31862696264.1505,49785462912.73515,48723083688.011475,0.0,0.9480619794090661,0.0
40,2.514166532442818e-11,5.537101783990218e-23,2016478.4471859445,2.514166532442818e-11,31819690130.97565,49718265829.649445,47584972652.283615,0.0,0.9506260704070985,0.0
42,2.517236578013636e-11,8.467777651319438e-15,1945856.1543771382,2.517236578013636e-11,31780882535.53363,49657628961.77129,32381454300.66525,0.0,0.9529489246251968,0.0
44,2.5200278546083172e-11,8.270917552606636e-23,1858910.6953071095,2.5200278546083172e-11,31745680847.815166,49602626324.7112,43012594426.28635,0.0,0.9550630957287191,0.0
46,6.47594271147973e-10,9.846877363330758e-26,1778056.8576998126,6.47594271147973e-10,1235341379.073446,1930220904.8022594,1507178204.7008662,0.0,0.957023315515265,0.0
48,4.972738237869769e-10,4.75913195553556e-22,1722912.6929953285,4.972738237869769e-10,1608771589.6799455,2513705608.874915,1957670165.7068071,0.0,0.9587898063409974,0.0
50,3.1491243892484456e-10,4.4997130904785855e-24,1651773.679520473,3.1491243892484456e-10,2540388695.763536,3969357337.130525,3542972751.2325006,0.0,0.9604146940740119,0.0
52,2.5290457011550892e-11,5.784528953545875e-23,1604167.1570190943,2.5290457011550892e-11,31632484918.505688,49425757685.16514,33372185233.630585,0.0,0.9619094808637992,0.0
