spins,mu,alpha,z_trap_frequency,analytical_gamma,optimum_gamma,fidelity,fidelity_lower_error,fidelity_upper_error,noiseless_fidelity,naive_fidelity,time,noiseless_time,switch_time
6,37797516.98028176,0.099857932124395,10657532.409930686,17248.81020903964,14042.032337736491,0.9988787532295066,0.9983562946299733,0.9994012118290398,0.999675795551184,0.7020890173870719,0.00038400000000000283,0.000385,0.0003154651263917
8,37757060.17845413,0.1003594075729698,8296603.004056687,15947.276420025037,13676.132962347769,0.998703065980498,0.9979621706822027,0.9994439612787932,0.999789607792708,0.7718196827914434,0.00045800000000000463,0.0004586,0.0003939973912592
10,37741153.70861538,0.1084828968770871,6828692.485320178,13941.26013833572,12334.877274691187,0.9979675045536354,0.9968982170387742,0.9990367920684965,0.9995725107079148,0.8153041506733496,0.0005700000000000073,0.0005708,0.0005038866401842
12,37731103.244596384,0.1143828056049426,5828901.475286691,12657.950181193684,11431.219192880142,0.9968280553215658,0.9952946155690789,0.9983614950740527,0.9991265997577872,0.8447579872344548,0.0006750000000000099,0.0006764,0.0006079419551203
14,37724712.30797663,0.1206337879755292,5092946.4874604,11597.325856645166,10569.09865065372,0.9956938798698812,0.9936928203914481,0.9976949393483143,0.9986696982051104,0.8660710485210906,0.0007870000000000126,0.0007884,0.0007167059876396
16,37720206.36124869,0.1263135347821896,4529379.067831489,10765.81605907997,9922.165179568245,0.9948088029236861,0.9925203082104314,0.9970972976369409,0.998214987340046,0.8821869538497831,0.0008980000000000153,0.0008996,0.0008253685394171
18,37716887.97722495,0.1307894077457174,4096256.107093891,10092.30679050956,9361.255785657648,0.9935366471446524,0.990550097821403,0.9965231964679018,0.9979170625602778,0.8947893417258151,0.0010090000000000144,0.0010112,0.0009338576557771
20,37714360.05157332,0.1359671537179435,3726902.7190767513,9530.164708335764,8905.034496515702,0.9921190044679252,0.9882628726056729,0.9959751363301775,0.9978088137996944,0.904934012499397,0.001120000000000005,0.0011225999999999,0.001042436156125
22,37712381.468778096,0.1405019368987012,3425262.682000916,9053.115369245495,8503.115307866397,0.9914376400369942,0.9872230677848481,0.9956522122891402,0.9978753098437864,0.913263298563308,0.0012309999999999958,0.0012341999999998,0.0011509280121946
24,37710798.18312957,0.1441704994160172,3178287.930219326,8641.913231758117,8160.88124172477,0.9903962104415257,0.9851941099382903,0.9955983109447611,0.9981204794761472,0.9202247309820374,0.0013419999999999864,0.0013453999999998,0.0012593040329787
26,37709564.04481247,0.1487902081797583,2960453.9752684766,8239.594906535285,7799.944339239842,0.98887586708173,0.9825062938508036,0.9952454403126565,0.99837010612574,0.9261355957257176,0.0014599999999999765,0.0014645999999997,0.0013747245498871
28,37708439.10585272,0.1509965304591179,2781611.189932981,7963.948587746839,7587.275766314291,0.9885435076230296,0.9817236357355414,0.9953633795105177,0.9987601313207892,0.9312120494777524,0.001561999999999968,0.0015667999999997,0.0014759968913692
30,37707542.50186929,0.1554567046555468,2607183.1166638355,7678.993957644317,7329.411067223266,0.9880137639557929,0.9805490463816665,0.9954784815299192,0.9990488976727132,0.9356220495826808,0.0016729999999999586,0.0016781999999996,0.0015844961065255
