spins,mu,alpha,z_trap_frequency,analytical_gamma,optimum_gamma,fidelity,fidelity_lower_error,fidelity_upper_error,noiseless_fidelity,naive_fidelity,time,noiseless_time,switch_time
6,38246237.2002098,0.3995997931681278,10657532.409930686,1500.1267998614278,1200.1014398891425,0.9860243874008059,0.9843471295881916,0.9877016452134202,0.9884918517772436,0.7172692466146189,0.004619000000000289,0.0046211999999994,0.0036272921017111
8,38029351.67580956,0.3999812716599473,8296603.004056687,1389.6392186372182,1111.7113749097746,0.9909440457949464,0.9886679385224575,0.9932201530674354,0.9946617356336156,0.781033169919917,0.005583000000000417,0.0055883999999979,0.0045214507642791
10,37921609.11979017,0.4000262520041094,6828692.485320178,1319.5938730444973,1093.381510788,0.988930077379458,0.9858407114218095,0.9920194433371066,0.9938080016309702,0.8196014447751588,0.006387000000000523,0.0063949999999966,0.0053234672231642
12,37860341.54520882,0.3999712106556571,5828901.475286691,1266.0641814183955,1074.454263031541,0.985131713111814,0.9814188992648689,0.9888445269587591,0.9906564563652108,0.8456445835553386,0.007139000000000623,0.0071489999999954,0.0060781270759512
14,37821678.469449386,0.4001463155238374,5092946.4874604,1225.2718166809268,1057.2293981527555,0.9795397324315901,0.9749764155538705,0.9841030493093097,0.986137901710274,0.8645218540636396,0.007841000000000691,0.0078543999999944,0.0067836971102311
16,37795101.92740784,0.3987245077230255,4529379.067831489,1199.8344089111215,1046.4272755873194,0.9737634757367966,0.968569878635622,0.9789570728379711,0.9812538569160992,0.8789873335523904,0.008459000000000237,0.0084753999999961,0.0074058268460401
18,37777744.249591164,0.400178560722882,4096256.107093891,1158.623205138805,1027.787517286136,0.9680780173383869,0.9620300732577135,0.9741259614190604,0.9768509253032076,0.8902879505009939,0.009207999999999687,0.0092283999999982,0.0081344633172958
20,37763913.67697368,0.4000157522467708,3726902.7190767513,1140.0777957654336,1027.7108503051174,0.9639529895349356,0.9573738114629559,0.9705321676069153,0.9735556646977112,0.8995443257626928,0.009800999999999251,0.0098289999999998,0.0087139564534068
22,37754200.82240897,0.4025398425741094,3425262.682000916,1109.116422475239,1006.3880752175584,0.9598236889671352,0.9517856569594488,0.9678617209748216,0.9713393421115746,0.9070607842733476,0.01053699999999871,0.0105724000000019,0.0093944006823385
24,37745355.60294006,0.3969262757508466,3178287.930219326,1112.128957110156,1020.8213959402106,0.960367616508181,0.952322409151554,0.9684128238648081,0.972195416203696,0.9139289915413707,0.01094699999999841,0.010987000000003,0.0097855524000418
