spins,minimum_mu,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
26,37709507.6222516,37784660.620815136,0.6042865989029704,2960453.9752684766,986.5709137565638,822.1424281304699,1183.8850965078764,868.7162887479176,0.911939151424533,0.8928029928665526,0.013137200000008927,0.011481357539731762
28,37708439.10585272,37773983.85119168,0.6002526335019543,2781611.189932981,975.8636730738546,813.2197275615455,1171.0364076886253,868.4825731789092,0.9066974165537058,0.8978468616895271,0.013850000000010876,0.01204549742231196
30,37707542.50186929,37765252.99728644,0.6004574150332613,2607183.1166638355,964.6697140666079,803.8914283888399,1157.6036568799295,875.0021067791281,0.9039767580562904,0.9015585463234991,0.01476200000001337,0.012612955346787962
32,37706781.36353737,37759091.18187103,0.603541832132335,2463394.2646559505,936.4443099668657,780.3702583057214,1123.733171960239,858.7445163873292,0.9043908767806421,0.9042483524114826,0.016008600000013452,0.013419239650037287
34,37706128.62147772,37752446.80760247,0.5999525789793978,2332978.245799682,935.5743076015297,779.645256334608,1122.6891691218354,864.0129820595828,0.9127965559884539,0.9080801791169555,0.01670600000000931,0.013845098393757999
36,37705563.79236224,37748490.10744768,0.6032574793812676,2226573.672497269,902.4843225942301,752.0702688285251,1082.981187113076,840.0885058989793,0.9192467299002199,0.9101007223812122,0.01796080000000186,0.014768842494860544
38,37705071.1195709,37744136.07508477,0.604473448048623,2117152.9013584764,889.6034856923999,741.336238077,1067.52418283088,832.1943282875891,0.9275985581004917,0.9123431755863448,0.018749199999997176,0.015393245551538516
40,37704638.30420996,37739585.64300583,0.5979557153666926,2028067.4037789672,895.8106001891043,746.5088334909203,1074.9727202269253,837.8627360517215,0.9402603259131815,0.916180680009568,0.018996999999995705,0.01568370530457621
42,37704255.620207526,37736309.4730359,0.5966025957716468,1945856.1543771385,885.6317306385363,738.0264421987802,1062.7580767662434,826.0412255213352,0.949121301531789,0.9186550493875246,0.01962559999999197,0.01625572530854618
44,37703915.28527729,37733577.7360143,0.5997292411285535,1858910.6953071093,871.4821919909479,726.2351599924565,1045.7786303891373,816.9439155567699,0.9557429932584645,0.9199345731868623,0.02034839999998768,0.016908407112346518
46,37703611.0059905,37731177.64625733,0.6001925406808065,1788516.0156862822,858.035634900711,715.0296957505925,1029.6427618808532,804.1293194540895,0.962668960923808,0.9216910886831087,0.021039799999983573,0.017559351230484774
48,37703337.64360311,37728186.65257481,0.5934223554730289,1722912.6929953285,871.1847431986084,725.9872859988403,1045.4216918383302,817.654068228384,0.9714557282031603,0.9250292237758281,0.02095619999998407,0.017666285001083512
50,37703090.96509195,37725940.64995139,0.5906808194353727,1661605.6657080948,871.4380524087296,726.1983770072748,1045.7256628904754,818.5008270508615,0.9775377463274104,0.9273068908192936,0.02122219999998249,0.018025335506672915
52,37702867.4552676,37724640.60563048,0.5952613334027481,1604167.1570190943,846.8821129129267,705.7350940941055,1016.258535495512,794.7977711073324,0.980613363149051,0.927789480660674,0.0222139999999766,0.018915315366993837
