spins,minimum_mu,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
6,37785364.00280661,38678354.81704123,0.6000008298743545,10657532.409930686,1508.2755601176918,1311.5439653197323,1734.5168941353454,1311.5439653197323,0.9278502942386633,0.7200890610038682,0.004601999999999508,0.003607694930943558
8,37756389.82632718,38306170.278138034,0.5993779373160599,8296603.004056687,1385.3605181051082,1204.6613200913985,1593.1645958208744,1204.6613200913985,0.9462258091174258,0.7770380877095084,0.005665799999997804,0.004535415312523636
10,37740711.27686532,38118229.76867766,0.6000037896603971,6828692.485320178,1299.349899739019,1129.8694780339297,1494.2523846998718,1129.8694780339297,0.9560621217491183,0.8101171232537331,0.006647599999996231,0.005406407259854868
12,37731103.244596384,38009208.906313285,0.6006505110281497,5828901.475286691,1231.750640431832,1071.0875134189844,1416.5132364966066,1071.1695653037095,0.9595643397813068,0.8319193269587799,0.007574399999994747,0.006247448735462671
14,37724712.30797663,37937781.16712464,0.5996873495654524,5092946.4874604,1186.1870966510473,1031.4670405661284,1364.1151611487044,1031.4670405661284,0.9588854548535217,0.847729033393971,0.008385599999995932,0.007007219101887827
16,37720206.36124869,37891812.89775708,0.6032612458483922,4529379.067831489,1131.2784017218207,983.7203493233225,1300.9701619800937,983.7203493233225,0.953995569350732,0.859146205743351,0.009296999999998425,0.007854623462087209
18,37716887.97722495,37854883.33045773,0.5969696638724354,4096256.107093891,1114.6556241814055,969.2657601577441,1281.8539678086163,969.2657601577441,0.9487849264617172,0.8695778185745534,0.009893800000000057,0.00845532714885897
20,37714360.05157332,37831495.99292391,0.6028171618585407,3726902.7190767513,1065.6735379806482,926.6726417223028,1225.5245686777453,926.6726417223028,0.9396364376075252,0.8763390435717507,0.010820600000002591,0.00932235615479504
22,37712381.468778096,37810551.018478215,0.5997600244184887,3425262.682000916,1051.7016048361286,914.523134640112,1209.4568455615477,914.523134640112,0.9313611799150873,0.883363380342149,0.011408200000004198,0.009907262695218412
24,37710798.18312957,37795523.69870487,0.5993915034380176,3178287.930219326,1025.3911977256507,891.6445197614355,1179.1998773844982,891.6445197614355,0.9220917728897186,0.8889789614878779,0.012149000000006224,0.010613311494718974
26,37709507.6222516,37784660.620815136,0.6042865989029704,2960453.9752684766,986.5709137565638,857.8877510926642,1134.5565508200482,867.2085958381706,0.9119673398145448,0.8928029928665526,0.01313100000000891,0.011481357539731762
28,37708439.10585272,37773983.85119168,0.6002526335019543,2781611.189932981,975.8636730738546,848.5771070207431,1122.2432240349326,871.195619401734,0.906740424487391,0.8978468616895271,0.01386960000001093,0.01204549742231196
30,37707542.50186929,37765252.99728644,0.6004574150332613,2607183.1166638355,964.6697140666079,838.8432296231374,1109.3701711765991,874.3996038477325,0.9039760327626454,0.9015585463234991,0.014755800000013353,0.012612955346787962
32,37706781.36353737,37759091.18187103,0.603541832132335,2463394.2646559505,936.4443099668657,814.2993999711875,1076.9109564618955,859.702010150363,0.9044157933849658,0.9042483524114826,0.016018200000013395,0.013419239650037287
34,37706128.62147772,37752446.80760247,0.5999525789793978,2332978.245799682,935.5743076015297,813.5428761752431,1075.910453741759,866.9709645044765,0.9129299850379022,0.9080801791169555,0.01672100000000922,0.013845098393757999
36,37705563.79236224,37748490.10744768,0.6032574793812676,2226573.672497269,902.4843225942301,784.7689761688957,1037.8569709833644,840.6044601722199,0.9192456718189715,0.9101007223812122,0.017961400000001855,0.014768842494860544
38,37705071.1195709,37744136.07508477,0.604473448048623,2117152.9013584764,889.6034856923999,773.5682484281739,1023.0440085462598,830.541529912693,0.927648738599318,0.9123431755863448,0.018752599999997156,0.015393245551538516
40,37704638.30420996,37739585.64300583,0.5979557153666926,2028067.4037789672,895.8106001891043,778.9657392948734,1030.18219021747,838.5658688309729,0.9402521301632372,0.916180680009568,0.018993999999995723,0.01568370530457621
42,37704255.620207526,37736309.4730359,0.5966025957716468,1945856.1543771385,885.6317306385363,770.1145483813359,1018.4764902343167,829.2932978423307,0.9493750128693841,0.9186550493875246,0.019608599999992073,0.01625572530854618
44,37703915.28527729,37733577.7360143,0.5997292411285535,1858910.6953071093,871.4821919909479,757.8106017312591,1002.2045207895898,815.6834620440645,0.9557136841124017,0.9199345731868623,0.020356999999987628,0.016908407112346518
46,37703611.0059905,37731177.64625733,0.6001925406808065,1788516.0156862822,858.035634900711,746.1179433919227,986.7409801358176,805.0428927194664,0.9626731791842202,0.9216910886831087,0.021032399999983617,0.017559351230484774
48,37703337.64360311,37728186.65257481,0.5934223554730289,1722912.6929953285,871.1847431986084,757.5519506074857,1001.8624546783996,817.7793958810715,0.9714547582498907,0.9250292237758281,0.020955199999984075,0.017666285001083512
50,37703090.96509195,37725940.64995139,0.5906808194353727,1661605.6657080948,871.4380524087296,757.7722194858518,1002.153760270039,818.2722592615422,0.9775396453102073,0.9273068908192936,0.021224199999982478,0.018025335506672915
52,37702867.4552676,37724640.60563048,0.5952613334027481,1604167.1570190943,846.8821129129267,736.4192286199363,973.9144298498657,795.2862680178531,0.9806215540235772,0.927789480660674,0.022209199999976628,0.018915315366993837
