spins,minimum_mu,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
6,37785364.002806604,39270755.997038096,0.8000020470213286,10657532.409930686,412.2516276859025,329.801302148722,515.3145346073782,329.801302148722,0.9351025613751522,0.7175121116458606,0.017596000000004025,0.01319921554524096
8,37756389.82632718,38712062.830425814,0.8001517640665001,8296603.0040566875,369.5808597352347,295.6646877881878,461.97607466904344,295.6646877881878,0.9493668666189116,0.7644428224699994,0.02247479999997505,0.017000840659553686
10,37740711.27686532,38417911.86850526,0.8000621303400667,6828692.485320178,341.1196139180858,272.8956911344686,426.3995173976072,272.8956911344686,0.9544425957497752,0.7888271715570256,0.026970399999948352,0.020593406079333857
12,37731103.244596384,38244473.95486612,0.8009567425637033,5828901.475286691,317.9092331760209,254.32738654081672,397.3865414700261,254.32738654081672,0.9533122709548536,0.8032039573282886,0.031354599999922315,0.02420596251355313
14,37724712.307976626,38130067.79451064,0.8016586594304814,5092946.4874604,299.9233587923515,239.9386870338812,374.90419849043934,239.9386870338812,0.9482515877229841,0.8125372713619181,0.03545879999989794,0.02771332288199904
16,37720206.36124869,38049512.139697745,0.8013422365180941,4529379.067831489,285.9569035925153,228.76552287401228,357.4461294906441,228.76552287401228,0.9407636806734552,0.8192309514431118,0.03923139999987554,0.031073793864332882
18,37716887.977224946,37992286.563283086,0.8004361487699627,4096256.107093891,272.93909103289303,218.3512728263144,341.1738637911163,218.3512728263144,0.9316632506665088,0.8243599446991208,0.04299379999985319,0.03453070032988994
20,37714360.05157332,37946986.63983473,0.7998502448564095,3726902.7190767513,263.8184559960662,211.05476479685296,329.7730699950827,211.05476479685296,0.9214175552258638,0.8282947943390926,0.04623939999983392,0.037656911561730295
22,37712381.468778096,37913214.8989199,0.8002667331034632,3425262.682000916,254.24540008983763,203.3963200718701,317.80675011229704,203.3963200718701,0.9104036241319243,0.8311379077551274,0.04965059999981366,0.04098199641925709
24,37710798.18312957,37886143.566599645,0.7987536305453486,3178287.9302193266,246.29342449542193,197.03473959633754,307.8667806192774,197.03473959633754,0.8992353177225989,0.8340806241147944,0.052789999999795015,0.044186304233256514
26,37709507.6222516,37865717.47834151,0.8012524589192287,2960453.9752684766,236.66032097885483,189.32825678308387,295.8254012235685,189.32825678308387,0.8876773662908681,0.8351668879655912,0.056492599999773026,0.04786257938081238
28,37708439.105852716,37849316.6128811,0.8024164421113054,2781611.189932981,227.36248477583055,181.88998782066446,284.2031059697882,181.88998782066446,0.8763408461195519,0.8363640770486447,0.06027599999975056,0.05170054052729358
30,37707542.50186929,37830722.41411526,0.7970344889187605,2607183.1166638355,227.53368575663237,182.0269486053059,284.4171071957905,182.0269486053059,0.865065049337269,0.8399756783728246,0.06143339999974368,0.05347487774155291
32,37706781.36353737,37820470.721786894,0.8019806950483,2463394.2646559505,217.3069566694856,173.8455653355885,271.63369583685704,173.8455653355885,0.8542736905391763,0.8391478742251895,0.06577159999983143,0.05782774195062735
34,37706128.621477716,37808901.31228102,0.8003661465189706,2332978.245799682,213.6776973937852,170.94215791502816,267.0971217422315,170.94215791502816,0.8434469352120797,0.8409249760817834,0.06809139999989813,0.060619889213538156
36,37705563.792362235,37801627.60048888,0.8034331730311487,2226573.672497269,204.54833578426943,163.63866862741554,255.68541973033678,163.63866862741554,0.8334562385265991,0.8404629224632258,0.07246240000002382,0.06516136522632184
38,37705071.1195709,37792206.75035371,0.8010610511504029,2117152.9013584764,202.94590897070947,162.35672717656757,253.68238621338682,162.35672717656757,0.8230337835552584,0.8424003972945076,0.07412660000007168,0.06747554049362033
40,37704638.30420996,37784370.051721595,0.7972005732533927,2028067.4037789672,200.82987587173562,160.6639006973885,251.03734483966952,160.6639006973885,0.8123725842759295,0.8450347150788112,0.0758902000001224,0.06995786558696354
42,37704255.620207526,37779745.148361795,0.801207885728394,1945856.1543771382,192.80829521348753,154.24663617079003,241.0103690168594,154.24663617079003,0.8038758716861264,0.843759007861275,0.08031140000024953,0.07466787734340863
44,37703915.28527729,37773049.30181408,0.7994456913346124,1858910.6953071095,192.15222928565478,153.72178342852382,240.1902866070685,153.72178342852382,0.7942144352152071,0.8452795044101705,0.08157720000028593,0.07668594711663411
46,37703611.0059905,37767203.85764316,0.7952783515690643,1788516.0156862822,191.59364780494255,153.27491824395403,239.49205975617818,183.2784146544139,0.821368798005947,0.8480354874851669,0.10963760000109282,0.07863804073939092
48,37703337.64360311,37763500.68974396,0.7974118768168207,1722912.6929953285,186.31137834028584,149.04910267222866,232.8892229253573,175.4662315147233,0.8354381587593991,0.8474801473246587,0.11564800000126566,0.08260686008039951
50,37703090.96509195,37760710.92385274,0.8019523736447386,1661605.6657080948,179.53107631619443,143.62486105295554,224.41384539524307,168.9170113404978,0.8397703389060536,0.8455095874252628,0.12233040000145781,0.0874943970161674
52,37702867.4552676,37756465.97042459,0.7991896274290359,1604167.1570190943,178.75608174874887,143.0048653989991,223.44510218593607,167.7620263325417,0.8497592650100695,0.8474819471143766,0.12436960000151645,0.08961397054411667
