spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
8,0.1650345558249374,0.1650345558249375,0.21503455582493752,0.1890345558249375,0.9286950544706726,0.7436592993554942,9.77999999999988
12,0.1331630700264699,0.12066307002646989,0.1706630700264699,0.1466630700264699,0.9548245843270877,0.8144215788703694,14.00999999999979
16,0.1137421097370348,0.09874210973703479,0.14874210973703478,0.12324210973703478,0.9866600312792193,0.8520159378338796,16.079999999999746
20,0.1004997587355275,0.0829997587355275,0.1329997587355275,0.1074997587355275,0.9928772220903624,0.8756767946249312,17.729999999999713
24,0.0907907656320292,0.07079076563202921,0.12079076563202922,0.09629076563202921,0.985080077069011,0.8921038163324451,19.279999999999678
28,0.0833078833672337,0.06330788336723359,0.11330788336723359,0.08780788336723358,0.9739415369842274,0.9042612214881184,20.819999999999645
32,0.0773274867348183,0.054827486734818305,0.10482748673481831,0.08082748673481831,0.9693957814767942,0.9136716168927488,22.809999999999604
36,0.0724144617802097,0.0499144617802097,0.09991446178020971,0.0754144617802097,0.9755167643857555,0.9212016137316223,24.619999999999564
40,0.0682902634225202,0.045790263422520204,0.0957902634225202,0.0707902634225202,0.9846459355472739,0.9273828943181316,26.079999999999533
44,0.0647676252915449,0.04226762529154499,0.092267625291545,0.066767625291545,0.9908382127366113,0.9325609049227828,27.229999999999507
48,0.0617155981900534,0.0392155981900534,0.0892155981900534,0.0637155981900534,0.992723597082861,0.9369704802593928,28.089999999999492
52,0.0590396114413421,0.0365396114413421,0.0865396114413421,0.0605396114413421,0.9912844169881625,0.9407772179608456,29.12999999999947
56,0.0566695017673816,0.0341695017673816,0.08416950176738161,0.0581695017673816,0.9866631303786466,0.9441014802047244,29.94999999999945
60,0.0545520118069638,0.029552011806963797,0.07955201180696381,0.0555520118069638,0.980120828277196,0.9470330032315436,31.059999999999427
64,0.0526459165241962,0.0276459165241962,0.0776459165241962,0.0536459165241962,0.9747402945791754,0.9496401549616996,32.27999999999945
68,0.0509187574629753,0.025918757462975298,0.0759187574629753,0.0519187574629753,0.9730218632111275,0.9519760050634872,34.489999999999796
72,0.0493445950159386,0.0243445950159386,0.0743445950159386,0.050344595015938604,0.9781540519755029,0.9540824236002962,36.16000000000005
76,0.0479024247212914,0.0229024247212914,0.07290242472129141,0.0484024247212914,0.9837476663813689,0.9559929200738354,37.31000000000023
80,0.0465750381433756,0.0215750381433756,0.0715750381433756,0.0470750381433756,0.9886437363120655,0.957734654499022,38.130000000000365
84,0.0453481883637563,0.0203481883637563,0.07034818836375631,0.0458481883637563,0.9915938548046456,0.959329890472158,38.84000000000047
88,0.0442099685143852,0.019209968514385202,0.06920996851438521,0.044709968514385204,0.9927620908258172,0.9607970637495008,39.49000000000058
92,0.0431503420825254,0.018150342082525396,0.0681503420825254,0.0436503420825254,0.9924641690854573,0.9621515806037886,40.200000000000685
96,0.0421607831503191,0.017160783150319096,0.06716078315031909,0.0426607831503191,0.9911038138499897,0.9634064228609268,40.9300000000008
100,0.0412339974731933,0.016233997473193297,0.0662339974731933,0.0417339974731933,0.9891766702736338,0.964572612394364,41.69000000000092
104,0.0403637038228975,0.0153637038228975,0.0653637038228975,0.0408637038228975,0.9872718722977716,0.9656595719452118,42.63000000000106
108,0.0395444608243361,0.014544460824336101,0.0645444608243361,0.0400444608243361,0.9861894691249149,0.9666754084406406,43.690000000001234
112,0.0387715285334022,0.013771528533402196,0.0637715285334022,0.0392715285334022,0.9864996789002576,0.9676271376657676,44.93000000000143
116,0.0380407568274267,0.013040756827426697,0.0630407568274267,0.0385407568274267,0.9878027981321219,0.9685208640573184,45.900000000001576
