spins,analytical_gamma,optimum_gamma,fidelity,noiseless_fidelity,naive_fidelity,time,noiseless_time
12,0.1331630700264699,0.1464964033598032,0.9537249203556523,0.9543359983579168,0.8144215788703694,13.949999999999791,13.999999999999982
16,0.1137421097370348,0.1217421097370348,0.9838833216414358,0.9852305634488512,0.8520159378338796,16.109999999999744,16.099999999999973
20,0.1004997587355275,0.1084997587355275,0.9899480265349114,0.991111281020994,0.8756767946249312,17.649999999999714,17.59999999999997
24,0.0907907656320292,0.0961240989653625,0.9830874447272537,0.9850248195892932,0.8921038163324451,19.14999999999968,19.09999999999997
28,0.0833078833672337,0.088641216700567,0.9698512284551899,0.971277320627434,0.9042612214881184,20.72999999999965,20.69999999999996
32,0.0773274867348183,0.079994153401485,0.9644099277657157,0.9664000866238868,0.9136716168927488,22.8999999999996,22.89999999999995
36,0.0724144617802097,0.0750811284468764,0.9721631462508877,0.97512014455847,0.9212016137316223,24.579999999999565,24.599999999999945
40,0.0682902634225202,0.0709569300891868,0.9811709224283205,0.9844084214134884,0.9273828943181316,25.789999999999537,25.89999999999994
44,0.0647676252915449,0.0674342919582116,0.9856403778754946,0.9883767322734852,0.9325609049227828,26.979999999999514,26.89999999999993
48,0.0617155981900534,0.0643822648567201,0.9831848971340378,0.9861018168105442,0.9369704802593928,27.909999999999492,27.89999999999993
52,0.0590396114413421,0.0617062781080088,0.9749957457888001,0.978269925592868,0.9407772179608456,28.53999999999948,28.59999999999993
56,0.0566695017673816,0.0593361684340483,0.9628928167775461,0.9659899507684636,0.9441014802047244,29.319999999999464,29.29999999999993
60,0.0545520118069638,0.0545520118069637,0.9541750233490565,0.9585671988752552,0.9470330032315436,31.289999999999424,31.29999999999992
64,0.0526459165241962,0.0526459165241962,0.9503581122095526,0.9555981635450006,0.9496401549616996,32.339999999999456,32.39999999999992
68,0.0509187574629753,0.0509187574629753,0.9527275424539294,0.9565904917275534,0.9519760050634872,34.5299999999998,34.69999999999995
72,0.0493445950159386,0.0493445950159386,0.9579807267121215,0.9629563266439602,0.9540824236002962,35.95000000000002,36.299999999999976
76,0.0479024247212914,0.0479024247212914,0.9638383698575709,0.9694278313406942,0.9559929200738354,36.99000000000018,37.29999999999999
80,0.0465750381433756,0.0465750381433756,0.9684935708290452,0.9742752115730132,0.957734654499022,37.990000000000336,38.1
84,0.0453481883637563,0.0453481883637563,0.9717538904064804,0.9772635606536312,0.959329890472158,38.74000000000046,38.70000000000001
88,0.0442099685143852,0.0442099685143852,0.9739490923305535,0.978458096537087,0.9607970637495008,39.48000000000057,39.50000000000002
92,0.0431503420825254,0.0431503420825254,0.9710747478026776,0.9782038999580952,0.9621515806037886,39.99000000000065,40.00000000000003
96,0.0421607831503191,0.0421607831503191,0.9720005262833475,0.9769461049275032,0.9634064228609268,40.790000000000774,40.70000000000004
100,0.0412339974731933,0.0412339974731933,0.9678328531604872,0.9750415641233692,0.964572612394364,41.52000000000089,41.50000000000005
104,0.0403637038228975,0.0403637038228975,0.9660305422181941,0.9730504911095916,0.9656595719452118,42.16000000000099,42.500000000000064
108,0.0395444608243361,0.0395444608243361,0.965564654899311,0.9717783876020945,0.9666754084406406,43.16000000000115,43.50000000000008
112,0.0387715285334022,0.0387715285334022,0.9656383044311422,0.97200988733621,0.9676271376657676,44.620000000001376,44.700000000000095
116,0.0380407568274267,0.0380407568274267,0.9656836471330917,0.97366917647126,0.9685208640573184,45.19000000000146,45.90000000000011
120,0.0373484946930953,0.0373484946930953,0.9685948622994827,0.9758611217340848,0.969361925798381,46.64000000000169,46.70000000000013
