spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
8,0.2307835686727283,0.2507835686727283,0.30078356867272826,0.2732835686727283,0.9161332244033419,0.664083113743898,14.849999999999772
12,0.2086147880798742,0.2036147880798742,0.2536147880798742,0.2286147880798742,0.9238373131768389,0.7023532419560383,18.349999999999696
16,0.1935200512961204,0.1810200512961204,0.2310200512961204,0.2060200512961204,0.9236516983939724,0.7193247745580367,21.229999999999634
20,0.1824571005814988,0.16495710058149882,0.2149571005814988,0.1899571005814988,0.9118492808644713,0.7290835688341203,23.649999999999586
24,0.1739007664481874,0.1539007664481874,0.2039007664481874,0.1789007664481874,0.8900435966488284,0.7357110717078942,25.729999999999542
28,0.167021317242487,0.144521317242487,0.194521317242487,0.169521317242487,0.8615341470161427,0.7407390008464764,27.569999999999503
32,0.1613277855665809,0.1413277855665809,0.19132778556658092,0.1688277855665809,0.8804659616677515,0.7448462173744831,34.91999999999986
36,0.1565094995216228,0.1365094995216228,0.18650949952162282,0.1615094995216228,0.8962058807998208,0.748371525295074,36.82000000000016
40,0.1523592014110747,0.1323592014110747,0.1823592014110747,0.1573592014110747,0.90244482797806,0.7515001097144091,38.51000000000042
44,0.148732652074731,0.126232652074731,0.176232652074731,0.151232652074731,0.9064104357128135,0.7543408830976579,40.21000000000069
48,0.1455259514583734,0.12302595145837342,0.1730259514583734,0.1480259514583734,0.9072410762122498,0.7569619443049683,41.630000000000905
52,0.1426620896096925,0.12016208960969252,0.17016208960969254,0.1451620896096925,0.9029551884089724,0.7594081682366439,43.01000000000113
56,0.1400825995673427,0.11758259956734271,0.16758259956734273,0.1425825995673427,0.8947407666902139,0.7617105104231567,44.29000000000133
60,0.1377421739279268,0.11274217392792671,0.16274217392792673,0.1377421739279267,0.8853778776429813,0.7638912007717802,45.82000000000156
64,0.1356050772401441,0.1106050772401441,0.1606050772401441,0.1356050772401441,0.8795438676282944,0.7659667789296216,47.13000000000177
68,0.133642686704113,0.108642686704113,0.15864268670411302,0.133642686704113,0.873795933437925,0.7679499405542078,53.68000000000279
72,0.1318317643718774,0.1068317643718773,0.1568317643718773,0.1318317643718773,0.8882771734250701,0.7698507006734344,55.13000000000302
76,0.1301532167816073,0.1051532167816073,0.15515321678160732,0.1301532167816073,0.9025717791327185,0.7716771502725328,56.55000000000324
80,0.1285911873390907,0.1035911873390907,0.15359118733909072,0.1285911873390907,0.9120119974096476,0.7734359626125997,57.85000000000345
84,0.127132380777283,0.10213238077728301,0.15213238077728303,0.127132380777283,0.9173140481005486,0.7751327410279572,58.8600000000036
88,0.1257655526154986,0.1007655526154986,0.15076555261549862,0.1257655526154986,0.9200879822363089,0.7767722636340789,59.80000000000375
92,0.1244811179678746,0.09948111796787451,0.1494811179678745,0.1244811179678745,0.920674526038641,0.7783586593600524,60.71000000000389
96,0.1232708480365625,0.09827084803656239,0.14827084803656237,0.12327084803656238,0.9194014588353968,0.7798955372053873,61.57000000000403
100,0.1221276319441811,0.097127631944181,0.147127631944181,0.122127631944181,0.9165450381320612,0.7813860829763796,62.400000000004155
104,0.1210452878871717,0.0960452878871717,0.1460452878871717,0.1185452878871717,0.9149946094378549,0.7828331329764985,63.89000000000439
108,0.120018411961505,0.09501841196150501,0.145018411961505,0.117518411961505,0.9129356620263399,0.7842392310707296,64.68000000000427
112,0.119042256077808,0.09154225607780789,0.1415422560778079,0.11654225607780788,0.9097537328551835,0.7856066735529944,65.4900000000041
116,0.118112628564774,0.090612628564774,0.14061262856477402,0.115612628564774,0.9056001872808508,0.7869375449241842,66.24000000000396
