spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
12,0.2086147880798742,0.2189481214132075,0.23894812141320748,0.2289481214132075,0.923842490597076,0.7023532419560383,18.339999999999694
16,0.1935200512961204,0.1958533846294538,0.21585338462945378,0.2058533846294538,0.9237024053057561,0.7193247745580367,21.239999999999636
20,0.1824571005814988,0.1804571005814988,0.2004571005814988,0.1904571005814988,0.9118957245222972,0.7290835688341203,23.629999999999583
24,0.1739007664481874,0.16923409978152068,0.18923409978152067,0.1792340997815207,0.8901086936269796,0.7357110717078942,25.70999999999954
28,0.167021317242487,0.1603546505758203,0.18035465057582029,0.1703546505758203,0.8627992041467478,0.7407390008464764,27.609999999999502
32,0.1613277855665809,0.15799445223324748,0.17799445223324747,0.1679944522332475,0.8818714656329112,0.7448462173744831,34.91999999999986
36,0.1565094995216228,0.1511761661882895,0.17117616618828949,0.1611761661882895,0.8958521052101682,0.748371525295074,36.850000000000165
40,0.1523592014110747,0.1460258680777414,0.1660258680777414,0.1560258680777414,0.9040991094731243,0.7515001097144091,38.58000000000043
44,0.148732652074731,0.14173265207473099,0.16173265207473098,0.151732652074731,0.9076351083906804,0.7543408830976579,40.17000000000069
48,0.1455259514583734,0.1385259514583734,0.1585259514583734,0.1485259514583734,0.9066364642882501,0.7569619443049683,41.600000000000904
52,0.1426620896096925,0.1349954229430258,0.1549954229430258,0.1449954229430258,0.9034267064810446,0.7594081682366439,43.01000000000113
56,0.1400825995673427,0.1317492662340094,0.1517492662340094,0.1417492662340094,0.8980711446505716,0.7617105104231567,44.38000000000134
60,0.1377421739279268,0.1284088405945934,0.1484088405945934,0.1384088405945934,0.8898825193614501,0.7638912007717802,45.760000000001554
64,0.1356050772401441,0.12660507724014408,0.14660507724014407,0.1366050772401441,0.8824224287024917,0.7659667789296216,46.99000000000174
68,0.133642686704113,0.123642686704113,0.143642686704113,0.133642686704113,0.8773322444277687,0.7679499405542078,54.280000000002886
72,0.1318317643718774,0.1218317643718773,0.1418317643718773,0.1318317643718773,0.8923389837754895,0.7698507006734344,55.60000000000309
76,0.1301532167816073,0.1194865501149407,0.1394865501149407,0.1294865501149407,0.9069146883303855,0.7716771502725328,56.97000000000331
80,0.1285911873390907,0.11792452067242411,0.1379245206724241,0.1279245206724241,0.917074935471569,0.7734359626125997,58.040000000003474
84,0.127132380777283,0.11579904744394971,0.13579904744394972,0.1257990474439497,0.9229626389046841,0.7751327410279572,59.22000000000366
88,0.1257655526154986,0.1144322192821653,0.1344322192821653,0.1244322192821653,0.9288537234758166,0.7767722636340789,60.18000000000381
92,0.1244811179678746,0.11314778463454131,0.1331477846345413,0.1231477846345413,0.9324196394167128,0.7783586593600524,61.10000000000395
96,0.1232708480365625,0.11227084803656251,0.1322708480365625,0.1222708480365625,0.9339198719398006,0.7798955372053873,61.880000000004074
100,0.1221276319441811,0.1111276319441811,0.1311276319441811,0.1211276319441811,0.9332244571483291,0.7813860829763796,62.73000000000421
104,0.1210452878871717,0.1100452878871717,0.1300452878871717,0.1200452878871717,0.9310771556599784,0.7828331329764985,63.54000000000433
108,0.120018411961505,0.10901841196150501,0.12901841196150501,0.119018411961505,0.9276931947047048,0.7842392310707296,64.32000000000434
112,0.119042256077808,0.10804225607780811,0.12804225607780811,0.1180422560778081,0.923257962592748,0.7856066735529944,65.08000000000419
116,0.118112628564774,0.107112628564774,0.127112628564774,0.117112628564774,0.917931673191426,0.7869375449241842,65.82000000000404
120,0.1172258126332353,0.10555914596656861,0.1255591459665686,0.1155591459665686,0.9144568086516545,0.7882337467958874,66.77000000000385
