time,phonons
0.0,"[1.0, 0.0, 0.0, 0.0]"
2.2472540623334002e-08,"[0.9999997527160974, 2.472828760107412e-07, 9.409707699242218e-14, 3.6240618403954355e-20]"
4.4945081246668004e-08,"[0.9999994982007865, 5.017967838765706e-07, 5.647639423928478e-13, 5.513708655311007e-19]"
6.834254179319405e-08,"[0.9999996062391279, 3.9375695371443514e-07, 6.77952160768468e-13, 7.956930315012174e-19]"
9.200121800921679e-08,"[0.9999994437237895, 5.562707659420554e-07, 6.733267866331593e-13, 1.2030081118400032e-18]"
1.1600723018788143e-07,"[0.9999988366705184, 1.1633207021280041e-06, 2.2467839246055775e-12, 4.8996189227615815e-18]"
1.4008213877000988e-07,"[0.9999985337367503, 1.4662515851905024e-06, 3.3215245776692246e-12, 1.123234928367666e-17]"
1.631873283539827e-07,"[0.9999983719872073, 1.6280008788773446e-06, 2.351879681014523e-12, 1.4365942325830544e-17]"
1.8707395770345737e-07,"[0.9999976785895964, 2.3213949791746595e-06, 4.183874276860755e-12, 2.214837325661661e-17]"
2.109344211545934e-07,"[0.999996909429595, 3.0905493854425093e-06, 8.117511363138554e-12, 4.719240860193515e-17]"
2.344636599614773e-07,"[0.9999965377193298, 3.4622597018002277e-06, 6.614221298895519e-12, 6.723917272606567e-17]"
2.5811358322054403e-07,"[0.9999959042111796, 4.095767097918922e-06, 5.8428280501015e-12, 8.06510121649687e-17]"
2.821271304652342e-07,"[0.9999948112467733, 5.18872258747097e-06, 1.299299315354813e-11, 1.2551100070520424e-16]"
3.06198437521947e-07,"[0.9999940137241342, 5.986241581265353e-06, 1.4830306860831755e-11, 1.9516566965056044e-16]"
3.293551455572912e-07,"[0.9999933858593624, 6.6141104996040344e-06, 9.438584541210362e-12, 2.329851358952339e-16]"
3.5328516870516483e-07,"[0.9999922118932661, 7.788068978757174e-06, 1.5347009681487404e-11, 2.835509777937909e-16]"
3.7718716016526934e-07,"[0.9999909536921455, 9.046258346658722e-06, 2.5410244450901068e-11, 4.2098819865474553e-16]"
4.0077024161331404e-07,"[0.9999901015983862, 9.89835725615922e-06, 1.8775735880281513e-11, 5.378858648782645e-16]"
4.244342288383648e-07,"[0.9999889916700931, 1.1008286691172911e-05, 1.609926702050671e-11, 6.03157803258403e-16]"
4.484516841110039e-07,"[0.9999874123615324, 1.2587576692435242e-05, 3.288910177972286e-11, 7.7541229675498585e-16]"
4.725226178997005e-07,"[0.9999861244739869, 1.3875460581262652e-05, 3.473796068396261e-11, 1.04063684575234e-15]"
4.957258482208352e-07,"[0.9999850263660819, 1.4973580697863253e-05, 2.1256648965577173e-11, 1.1857406223072729e-15]"
5.196908210115591e-07,"[0.9999833667833908, 1.6633149289733744e-05, 3.362337056515342e-11, 1.3446706969680313e-15]"
5.436221143821027e-07,"[0.9999816218227472, 1.8378089382541708e-05, 5.2464275233919864e-11, 1.7515843807593498e-15]"
5.672460533966963e-07,"[0.999980289571031, 1.9710354976079675e-05, 3.70771661437774e-11, 2.105277518117176e-15]"
5.909366851554041e-07,"[0.9999786978241288, 2.13021058826901e-05, 3.152166021701199e-11, 2.2887546449959586e-15]"
6.149557027695457e-07,"[0.9999766319571154, 2.3367940585879916e-05, 6.206086003382018e-11, 2.7246554002088032e-15]"
6.390290990224212e-07,"[0.9999748574507048, 2.5142444333364415e-05, 6.291399897589771e-11, 3.3930408612149928e-15]"
6.622692852102303e-07,"[0.9999732861776698, 2.671374124569229e-05, 3.77470379962337e-11, 3.7583614914987824e-15]"
6.862617783475059e-07,"[0.9999711370837384, 2.8862811930874153e-05, 5.924116306659118e-11, 4.12328209708429e-15]"
7.102110810303122e-07,"[0.9999689080206884, 3.1091843245258536e-05, 8.925421034816039e-11, 5.027158283988386e-15]"
7.338632792598051e-07,"[0.9999670965491415, 3.290334122523089e-05, 6.129344266248858e-11, 5.818384302766574e-15]"
7.575886977458643e-07,"[0.9999650180964389, 3.4981801372526066e-05, 5.227527908016356e-11, 6.2135486754891336e-15]"
7.81605136759497e-07,"[0.9999624660911396, 3.753375647305656e-05, 1.0070453852281627e-10, 7.102456009510982e-15]"
8.056814563356767e-07,"[0.9999602082247033, 3.979162270832777e-05, 9.909264750248711e-11, 8.455935523505503e-15]"
8.289502023822758e-07,"[0.9999581618740151, 4.183801236228854e-05, 5.882179928801195e-11, 9.191704870745572e-15]"
