time_microseconds,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
1000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10915754050407893-0.1083476433599534j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.109157540504079-0.10834764335995335j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10915754050407896-0.10834764335995335j),0j,0j,0j,0j,0j,0j,0j,(-0.7267169431222589-0.3450410895538762j),0j,0j,0j,(0.109157540504079-0.10834764335995341j),0j,(0.10915754050407898-0.10834764335995348j),(0.10915754050407889-0.10834764335995373j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05142184137308742+0.0442048857773773j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.051421841373087224+0.04420488577737721j),0j,0j,0j,0j,0j,0j,0j,(0.10915754050407954-0.10834764335995319j),0j,0j,0j,(-0.05142184137308743+0.04420488577737734j),0j,(-0.05142184137308759+0.044204885777377495j),(-0.05142184137308806+0.04420488577737762j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.051421841373087245+0.044204885777377294j),0j,0j,0j,0j,0j,0j,0j,(0.10915754050407944-0.10834764335995314j),0j,0j,0j,(-0.05142184137308745+0.04420488577737724j),0j,(-0.051421841373087626+0.04420488577737742j),(-0.051421841373088126+0.04420488577737754j),0j,0j,0j,0j,0j,0j,0j,0j,(0.10915754050407955-0.1083476433599531j),0j,0j,0j,(-0.05142184137308751+0.044204885777377294j),0j,(-0.051421841373087564+0.04420488577737748j),(-0.05142184137308808+0.0442048857773776j),0j,0j,0j,0j,(0.10915754050407947-0.10834764335995328j),0j,(0.10915754050407947-0.10834764335995355j),(0.10915754050407943-0.10834764335995355j),0j,0j,(-0.051421841373087834+0.04420488577737741j),(-0.05142184137308824+0.04420488577737753j),0j,(-0.05142184137308848+0.0442048857773778j),0j,0j,0j
2000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.233699632074242-0.001269697375969015j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.23369963207424213-0.00126969737596879j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.23369963207424202-0.0012696973759688957j),0j,0j,0j,0j,0j,0j,0j,(0.4215300515214912+0.14945441852748345j),0j,0j,0j,(-0.23369963207424221-0.0012696973759687919j),0j,(-0.23369963207424235-0.0012696973759685835j),(-0.23369963207424277-0.0012696973759680076j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09691129648378706+0.015691270816672338j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09691129648378687+0.015691270816672494j),0j,0j,0j,0j,0j,0j,0j,(-0.2336996320742415-0.0012696973759701987j),0j,0j,0j,(0.09691129648378691+0.01569127081667249j),0j,(0.0969112964837872+0.01569127081667272j),(0.09691129648378746+0.015691270816673396j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09691129648378681+0.01569127081667239j),0j,0j,0j,0j,0j,0j,0j,(-0.23369963207424163-0.0012696973759703696j),0j,0j,0j,(0.09691129648378688+0.015691270816672667j),0j,(0.09691129648378717+0.015691270816672858j),(0.09691129648378745+0.015691270816673594j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.23369963207424155-0.0012696973759704008j),0j,0j,0j,(0.09691129648378703+0.015691270816672504j),0j,(0.0969112964837871+0.015691270816672702j),(0.09691129648378749+0.015691270816673437j),0j,0j,0j,0j,(-0.23369963207424174-0.0012696973759701172j),0j,(-0.2336996320742419-0.00126969737596944j),(-0.23369963207424224-0.001269697375969185j),0j,0j,(0.09691129648378727+0.015691270816673087j),(0.09691129648378743+0.015691270816673705j),0j,(0.09691129648378773+0.01569127081667371j),0j,0j,0j
3000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.14270636215963325+0.14280167981673308j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.14270636215963334+0.14280167981673292j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.14270636215963325+0.1428016798167329j),0j,0j,0j,0j,0j,0j,0j,(-0.6476916865753232+0.10028642302486472j),0j,0j,0j,(0.14270636215963375+0.14280167981673306j),0j,(0.14270636215963425+0.1428016798167332j),(0.14270636215963522+0.14280167981673342j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.03513110110380699-0.06472304680446667j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.03513110110380691-0.06472304680446683j),0j,0j,0j,0j,0j,0j,0j,(0.14270636215963098+0.1428016798167327j),0j,0j,0j,(-0.035131101103806704-0.06472304680446656j),0j,(-0.03513110110380631-0.06472304680446676j),(-0.035131101103805545-0.06472304680446708j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0351311011038068-0.06472304680446647j),0j,0j,0j,0j,0j,0j,0j,(0.14270636215963112+0.14280167981673297j),0j,0j,0j,(-0.03513110110380658-0.06472304680446664j),0j,(-0.035131101103806225-0.06472304680446675j),(-0.03513110110380543-0.06472304680446724j),0j,0j,0j,0j,0j,0j,0j,0j,(0.142706362159631+0.14280167981673286j),0j,0j,0j,(-0.03513110110380679-0.06472304680446664j),0j,(-0.03513110110380629-0.06472304680446672j),(-0.03513110110380562-0.06472304680446704j),0j,0j,0j,0j,(0.1427063621596314+0.14280167981673297j),0j,(0.142706362159632+0.14280167981673259j),(0.14270636215963312+0.1428016798167331j),0j,0j,(-0.03513110110380609-0.06472304680446686j),(-0.035131101103805205-0.06472304680446724j),0j,(-0.03513110110380488-0.06472304680446726j),0j,0j,0j
4000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.003786154334207186-0.0748522771171567j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.003786154334207142-0.0748522771171566j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00378615433420717-0.07485227711715658j),0j,0j,0j,0j,0j,0j,0j,(0.9479015830157311+0.17874036686429248j),0j,0j,0j,(-0.0037861543342072464-0.07485227711715704j),0j,(-0.0037861543342072343-0.07485227711715808j),(-0.0037861543342069624-0.07485227711715944j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.011710466540763223+0.0021766108100826193j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.011710466540763643+0.00217661081008276j),0j,0j,0j,0j,0j,0j,0j,(-0.003786154334206902-0.0748522771171538j),0j,0j,0j,(-0.011710466540763397+0.0021766108100821665j),0j,(-0.011710466540763614+0.0021766108100815472j),(-0.011710466540763772+0.002176610810080479j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.01171046654076337+0.0021766108100823396j),0j,0j,0j,0j,0j,0j,0j,(-0.0037861543342069363-0.07485227711715424j),0j,0j,0j,(-0.011710466540763319+0.0021766108100821266j),0j,(-0.01171046654076348+0.002176610810081324j),(-0.011710466540763744+0.0021766108100804487j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.0037861543342070135-0.07485227711715392j),0j,0j,0j,(-0.011710466540763216+0.0021766108100823136j),0j,(-0.011710466540763582+0.002176610810081463j),(-0.011710466540763664+0.002176610810080504j),0j,0j,0j,0j,(-0.003786154334207093-0.07485227711715434j),0j,(-0.0037861543342073154-0.07485227711715459j),(-0.0037861543342073535-0.0748522771171564j),0j,0j,(-0.01171046654076355+0.0021766108100810316j),(-0.011710466540763733+0.002176610810080181j),0j,(-0.011710466540763883+0.0021766108100793593j),0j,0j,0j
5000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06598585426670614-0.054407564461726045j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06598585426670614-0.054407564461726385j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0659858542667062-0.05440756446172623j),0j,0j,0j,0j,0j,0j,0j,(-0.7218742775008273-0.5595280604491336j),0j,0j,0j,(0.06598585426670575-0.05440756446172622j),0j,(0.06598585426670478-0.05440756446172565j),(0.06598585426670321-0.054407564461725615j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05875192817725834+0.04185470796054966j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05875192817725788+0.041854707960549735j),0j,0j,0j,0j,0j,0j,0j,(0.0659858542667091-0.05440756446172653j),0j,0j,0j,(-0.05875192817725845+0.04185470796054999j),0j,(-0.05875192817725937+0.041854707960550214j),(-0.058751928177260784+0.04185470796055042j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05875192817725824+0.041854707960549846j),0j,0j,0j,0j,0j,0j,0j,(0.06598585426670901-0.05440756446172615j),0j,0j,0j,(-0.05875192817725873+0.04185470796054961j),0j,(-0.05875192817725967+0.04185470796055017j),(-0.058751928177260965+0.04185470796055012j),0j,0j,0j,0j,0j,0j,0j,0j,(0.06598585426670919-0.054407564461726225j),0j,0j,0j,(-0.058751928177258765+0.041854707960549686j),0j,(-0.058751928177259494+0.041854707960550235j),(-0.05875192817726094+0.04185470796055033j),0j,0j,0j,0j,(0.06598585426670878-0.05440756446172623j),0j,(0.06598585426670832-0.05440756446172663j),(0.06598585426670683-0.054407564461726j),0j,0j,(-0.058751928177260014+0.041854707960550186j),(-0.05875192817726151+0.04185470796055025j),0j,(-0.05875192817726248+0.04185470796055049j),0j,0j,0j
6000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.2009223754071791-0.008871271708849457j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.20092237540717936-0.008871271708848827j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.20092237540717936-0.008871271708849195j),0j,0j,0j,0j,0j,0j,0j,(0.36479740888062645+0.42739338977819835j),0j,0j,0j,(-0.20092237540717944-0.008871271708848483j),0j,(-0.20092237540717878-0.008871271708847765j),(-0.20092237540717847-0.008871271708845996j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10831785369460396+0.03905924952414508j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10831785369460374+0.03905924952414494j),0j,0j,0j,0j,0j,0j,0j,(-0.20092237540717903-0.008871271708852742j),0j,0j,0j,(0.10831785369460385+0.039059249524145294j),0j,(0.10831785369460437+0.03905924952414618j),(0.10831785369460491+0.03905924952414796j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10831785369460378+0.03905924952414494j),0j,0j,0j,0j,0j,0j,0j,(-0.20092237540717942-0.008871271708853169j),0j,0j,0j,(0.10831785369460373+0.03905924952414585j),0j,(0.1083178536946043+0.03905924952414647j),(0.10831785369460456+0.0390592495241484j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.20092237540717942-0.008871271708853027j),0j,0j,0j,(0.10831785369460405+0.039059249524145565j),0j,(0.10831785369460437+0.03905924952414635j),(0.10831785369460491+0.03905924952414817j),0j,0j,0j,0j,(-0.2009223754071795-0.008871271708852633j),0j,(-0.20092237540717972-0.008871271708850987j),(-0.20092237540717942-0.008871271708849817j),0j,0j,(0.10831785369460442+0.039059249524146876j),(0.10831785369460496+0.03905924952414883j),0j,(0.10831785369460546+0.03905924952414995j),0j,0j,0j
7000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.15265302291956326+0.15601531620080838j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.15265302291956376+0.15601531620080808j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.15265302291956373+0.15601531620080833j),0j,0j,0j,0j,0j,0j,0j,(-0.501804358857627-0.14515571982805087j),0j,0j,0j,(0.15265302291956453+0.15601531620080816j),0j,(0.15265302291956515+0.15601531620080802j),(0.15265302291956726+0.15601531620080789j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0240062560978572-0.09891174716433326j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.024006256097857073-0.09891174716433343j),0j,0j,0j,0j,0j,0j,0j,(0.15265302291955862+0.15601531620080844j),0j,0j,0j,(-0.02400625609785646-0.09891174716433325j),0j,(-0.02400625609785559-0.09891174716433371j),(-0.024006256097853673-0.0989117471643345j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.02400625609785697-0.09891174716433299j),0j,0j,0j,0j,0j,0j,0j,(0.15265302291955893+0.15601531620080927j),0j,0j,0j,(-0.02400625609785624-0.09891174716433339j),0j,(-0.02400625609785539-0.09891174716433355j),(-0.024006256097853226-0.09891174716433439j),0j,0j,0j,0j,0j,0j,0j,0j,(0.15265302291955893+0.15601531620080894j),0j,0j,0j,(-0.024006256097856737-0.0989117471643333j),0j,(-0.02400625609785558-0.09891174716433357j),(-0.02400625609785375-0.0989117471643345j),0j,0j,0j,0j,(0.15265302291955946+0.15601531620080927j),0j,(0.1526530229195614+0.15601531620080822j),(0.1526530229195634+0.15601531620080855j),0j,0j,(-0.02400625609785495-0.09891174716433371j),(-0.02400625609785296-0.09891174716433482j),0j,(-0.024006256097851803-0.09891174716433547j),0j,0j,0j
8000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.010554133967016358-0.13168447543057524j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.010554133967016367-0.13168447543057496j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.010554133967016497-0.13168447543057527j),0j,0j,0j,0j,0j,0j,0j,(0.8014929121169148+0.34489353411940127j),0j,0j,0j,(-0.01055413396701673-0.13168447543057568j),0j,(-0.010554133967016368-0.13168447543057687j),(-0.010554133967016755-0.13168447543057935j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.041222374774233544+0.01579453378001903j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.041222374774233905+0.015794533780019375j),0j,0j,0j,0j,0j,0j,0j,(-0.010554133967014883-0.13168447543056916j),0j,0j,0j,(-0.04122237477423389+0.01579453378001831j),0j,(-0.04122237477423421+0.01579453378001698j),(-0.04122237477423511+0.015794533780014802j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.04122237477423357+0.015794533780018778j),0j,0j,0j,0j,0j,0j,0j,(-0.010554133967014646-0.13168447543057016j),0j,0j,0j,(-0.04122237477423374+0.015794533780018386j),0j,(-0.041222374774234086+0.015794533780016766j),(-0.04122237477423508+0.015794533780014646j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.010554133967014887-0.13168447543056963j),0j,0j,0j,(-0.0412223747742334+0.015794533780018362j),0j,(-0.04122237477423406+0.015794533780017012j),(-0.041222374774234814+0.015794533780014844j),0j,0j,0j,0j,(-0.010554133967014594-0.131684475430571j),0j,(-0.010554133967016018-0.13168447543057138j),(-0.010554133967016413-0.1316844754305744j),0j,0j,(-0.04122237477423406+0.015794533780016183j),(-0.04122237477423497+0.015794533780014268j),0j,(-0.041222374774235654+0.0157945337800131j),0j,0j,0j
9000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0266643513115991+0.006894407461224756j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.026664351311598694+0.006894407461223689j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.026664351311599138+0.006894407461224295j),0j,0j,0j,0j,0j,0j,0j,(-0.6271702060417826-0.7254742331793642j),0j,0j,0j,(0.02666435131159835+0.006894407461223861j),0j,(0.026664351311596838+0.006894407461224608j),(0.02666435131159426+0.00689440746122565j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.04560029242139741+0.05167309021869007j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.04560029242139685+0.051673090218689786j),0j,0j,0j,0j,0j,0j,0j,(0.026664351311604426+0.006894407461222037j),0j,0j,0j,(-0.045600292421397744+0.05167309021869034j),0j,(-0.04560029242139937+0.051673090218691174j),(-0.0456002924214019+0.051673090218692104j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.04560029242139742+0.051673090218690036j),0j,0j,0j,0j,0j,0j,0j,(0.02666435131160423+0.006894407461222666j),0j,0j,0j,(-0.045600292421398236+0.051673090218689835j),0j,(-0.04560029242139977+0.05167309021869092j),(-0.04560029242140203+0.05167309021869188j),0j,0j,0j,0j,0j,0j,0j,0j,(0.026664351311604703+0.006894407461222239j),0j,0j,0j,(-0.045600292421398354+0.05167309021868987j),0j,(-0.04560029242139951+0.051673090218690855j),(-0.04560029242140213+0.051673090218691764j),0j,0j,0j,0j,(0.026664351311603673+0.006894407461222663j),0j,(0.026664351311603492+0.006894407461222657j),(0.026664351311601074+0.006894407461224143j),0j,0j,(-0.04560029242140051+0.0516730902186912j),(-0.045600292421402906+0.05167309021869184j),0j,(-0.045600292421404155+0.051673090218692756j),0j,0j,0j
10000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.14678451005746085-0.027969803097430183j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.1467845100574611-0.027969803097428806j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.14678451005746124-0.027969803097429902j),0j,0j,0j,0j,0j,0j,0j,(0.2502578080904259+0.6478833740070609j),0j,0j,0j,(-0.14678451005746113-0.027969803097428286j),0j,(-0.1467845100574601-0.02796980309742711j),(-0.14678451005745893-0.027969803097424212j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12184307784100316+0.042423343865559064j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12184307784100293+0.042423343865559j),0j,0j,0j,0j,0j,0j,0j,(-0.14678451005746154-0.027969803097435467j),0j,0j,0j,(0.12184307784100311+0.04242334386555946j),0j,(0.12184307784100439+0.04242334386556085j),(0.12184307784100555+0.042423343865563685j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12184307784100291+0.04242334386555898j),0j,0j,0j,0j,0j,0j,0j,(-0.14678451005746207-0.02796980309743593j),0j,0j,0j,(0.12184307784100301+0.042423343865560174j),0j,(0.12184307784100419+0.042423343865561326j),(0.12184307784100509+0.04242334386556406j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.14678451005746226-0.02796980309743601j),0j,0j,0j,(0.12184307784100339+0.04242334386556001j),0j,(0.12184307784100427+0.04242334386556103j),(0.12184307784100552+0.04242334386556387j),0j,0j,0j,0j,(-0.14678451005746204-0.02796980309743536j),0j,(-0.14678451005746246-0.027969803097433226j),(-0.14678451005746165-0.02796980309743066j),0j,0j,(0.12184307784100466+0.042423343865561805j),(0.12184307784100555+0.04242334386556483j),0j,(0.12184307784100647+0.042423343865566045j),0j,0j,0j
