time_microseconds,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
1000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09345484303353377-0.09188133554032425j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0934548430335336-0.09188133554032427j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0934548430335337-0.09188133554032421j),0j,0j,0j,0j,0j,0j,0j,(-0.7387522986046724-0.41925694138374947j),0j,0j,0j,(0.09345484303353362-0.09188133554032427j),0j,(0.09345484303353362-0.0918813355403244j),(0.09345484303353366-0.09188133554032439j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.055413780492658785+0.04187003884670241j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.055413780492658764+0.04187003884670249j),0j,0j,0j,0j,0j,0j,0j,(0.09345484303353402-0.09188133554032418j),0j,0j,0j,(-0.05541378049265895+0.041870038846702505j),0j,(-0.055413780492659194+0.04187003884670259j),(-0.055413780492659714+0.04187003884670274j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05541378049265873+0.041870038846702436j),0j,0j,0j,0j,0j,0j,0j,(0.09345484303353394-0.09188133554032407j),0j,0j,0j,(-0.05541378049265898+0.04187003884670251j),0j,(-0.055413780492659236+0.04187003884670261j),(-0.055413780492659714+0.04187003884670279j),0j,0j,0j,0j,0j,0j,0j,0j,(0.09345484303353391-0.09188133554032404j),0j,0j,0j,(-0.05541378049265894+0.04187003884670255j),0j,(-0.05541378049265921+0.04187003884670265j),(-0.05541378049265966+0.041870038846702796j),0j,0j,0j,0j,(0.09345484303353405-0.09188133554032413j),0j,(0.09345484303353392-0.0918813355403243j),(0.09345484303353378-0.09188133554032457j),0j,0j,(-0.05541378049265939+0.04187003884670264j),(-0.05541378049265978+0.04187003884670268j),0j,(-0.055413780492660276+0.04187003884670295j),0j,0j,0j
2000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.21351420997692838-0.0020081992896013932j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.21351420997692816-0.002008199289601229j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.21351420997692833-0.0020081992896012722j),0j,0j,0j,0j,0j,0j,0j,(0.3932419139161788+0.3437666050751262j),0j,0j,0j,(-0.21351420997692833-0.002008199289601185j),0j,(-0.21351420997692858-0.00200819928960089j),(-0.21351420997692894-0.002008199289600751j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10474898011579331+0.0321370784065731j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10474898011579337+0.03213707840657303j),0j,0j,0j,0j,0j,0j,0j,(-0.21351420997692833-0.0020081992896022406j),0j,0j,0j,(0.10474898011579345+0.03213707840657324j),0j,(0.10474898011579374+0.03213707840657357j),(0.10474898011579427+0.03213707840657421j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10474898011579321+0.03213707840657312j),0j,0j,0j,0j,0j,0j,0j,(-0.2135142099769282-0.0020081992896022224j),0j,0j,0j,(0.10474898011579342+0.03213707840657338j),0j,(0.1047489801157938+0.03213707840657372j),(0.10474898011579419+0.03213707840657427j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.21351420997692813-0.0020081992896023716j),0j,0j,0j,(0.10474898011579349+0.03213707840657335j),0j,(0.10474898011579382+0.03213707840657367j),(0.10474898011579421+0.03213707840657424j),0j,0j,0j,0j,(-0.2135142099769285-0.0020081992896021973j),0j,(-0.21351420997692852-0.002008199289601754j),(-0.21351420997692863-0.002008199289601242j),0j,0j,(0.10474898011579387+0.03213707840657392j),(0.10474898011579417+0.03213707840657456j),0j,(0.1047489801157948+0.032137078406574815j),0j,0j,0j
3000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.15618541347387696+0.15237939122175542j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.15618541347387696+0.15237939122175526j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.15618541347387702+0.15237939122175526j),0j,0j,0j,0j,0j,0j,0j,(-0.4952950342426387-0.14658913102208346j),0j,0j,0j,(0.1561854134738773+0.15237939122175537j),0j,(0.15618541347387802+0.15237939122175537j),(0.15618541347387893+0.15237939122175564j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.026286436166217998-0.10048862549646213j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.02628643616621813-0.10048862549646209j),0j,0j,0j,0j,0j,0j,0j,(0.1561854134738753+0.15237939122175564j),0j,0j,0j,(-0.026286436166217935-0.10048862549646208j),0j,(-0.026286436166217415-0.10048862549646262j),(-0.02628643616621689-0.10048862549646306j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.02628643616621774-0.10048862549646205j),0j,0j,0j,0j,0j,0j,0j,(0.1561854134738753+0.1523793912217557j),0j,0j,0j,(-0.02628643616621764-0.10048862549646223j),0j,(-0.02628643616621736-0.10048862549646266j),(-0.026286436166216603-0.10048862549646315j),0j,0j,0j,0j,0j,0j,0j,0j,(0.15618541347387513+0.1523793912217557j),0j,0j,0j,(-0.02628643616621777-0.10048862549646236j),0j,(-0.026286436166217432-0.10048862549646267j),(-0.026286436166216773-0.10048862549646313j),0j,0j,0j,0j,(0.15618541347387563+0.1523793912217559j),0j,(0.15618541347387643+0.15237939122175562j),(0.15618541347387735+0.15237939122175562j),0j,0j,(-0.026286436166217092-0.10048862549646279j),(-0.02628643616621624-0.10048862549646323j),0j,(-0.026286436166216155-0.10048862549646388j),0j,0j,0j
4000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.016652069973926816-0.14662645104914024j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.01665206997392674-0.14662645104914046j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.01665206997392696-0.14662645104914032j),0j,0j,0j,0j,0j,0j,0j,(0.732568499469648+0.3816473590852197j),0j,0j,0j,(-0.016652069973926768-0.14662645104914088j),0j,(-0.016652069973927264-0.1466264510491417j),(-0.01665206997392737-0.14662645104914312j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.054551176923831705+0.027966566171353475j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05455117692383177+0.027966566171353555j),0j,0j,0j,0j,0j,0j,0j,(-0.01665206997392578-0.1466264510491381j),0j,0j,0j,(-0.054551176923831636+0.027966566171353128j),0j,(-0.054551176923832295+0.027966566171352642j),(-0.05455117692383266+0.027966566171351705j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05455117692383199+0.027966566171353232j),0j,0j,0j,0j,0j,0j,0j,(-0.016652069973925713-0.1466264510491385j),0j,0j,0j,(-0.05455117692383194+0.02796656617135299j),0j,(-0.05455117692383235+0.02796656617135243j),(-0.054551176923832885+0.027966566171351567j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.016652069973925692-0.14662645104913835j),0j,0j,0j,(-0.054551176923831914+0.02796656617135325j),0j,(-0.054551176923832406+0.02796656617135248j),(-0.0545511769238328+0.02796656617135167j),0j,0j,0j,0j,(-0.016652069973925814-0.14662645104913882j),0j,(-0.016652069973926518-0.1466264510491395j),(-0.016652069973926955-0.14662645104914063j),0j,0j,(-0.05455117692383248+0.027966566171352094j),(-0.054551176923833176+0.027966566171351237j),0j,(-0.054551176923833544+0.027966566171350928j),0j,0j,0j
5000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.005372209306178074+0.04755273580924393j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.005372209306177617+0.04755273580924399j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.005372209306177983+0.04755273580924403j),0j,0j,0j,0j,0j,0j,0j,(-0.5337408812386394-0.7926594385243917j),0j,0j,0j,(0.005372209306177086+0.04755273580924426j),0j,(0.0053722093061764255+0.047552735809244864j),(0.005372209306175288+0.04755273580924567j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.01728289898006953+0.06047022819326933j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.017282898980069475+0.06047022819326947j),0j,0j,0j,0j,0j,0j,0j,(0.005372209306180152+0.04755273580924245j),0j,0j,0j,(-0.017282898980070058+0.06047022819326964j),0j,(-0.017282898980070793+0.06047022819327034j),(-0.017282898980072018+0.06047022819327102j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.017282898980069725+0.06047022819326986j),0j,0j,0j,0j,0j,0j,0j,(0.005372209306179794+0.04755273580924293j),0j,0j,0j,(-0.017282898980070124+0.06047022819326984j),0j,(-0.017282898980070963+0.0604702281932705j),(-0.017282898980071983+0.06047022819327113j),0j,0j,0j,0j,0j,0j,0j,0j,(0.005372209306179837+0.04755273580924276j),0j,0j,0j,(-0.017282898980070027+0.06047022819326959j),0j,(-0.017282898980070856+0.06047022819327058j),(-0.01728289898007212+0.06047022819327106j),0j,0j,0j,0j,(0.005372209306179298+0.04755273580924303j),0j,(0.005372209306179123+0.04755273580924358j),(0.0053722093061781785+0.04755273580924403j),0j,0j,(-0.017282898980071307+0.060470228193270734j),(-0.017282898980072233+0.06047022819327129j),0j,(-0.017282898980072972+0.0604702281932718j),0j,0j,0j
6000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.08499646177600155-0.05531635082958251j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0849964617760008-0.055316350829582084j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.08499646177600118-0.05531635082958228j),0j,0j,0j,0j,0j,0j,0j,(0.0968168448486126+0.7956408898735075j),0j,0j,0j,(-0.0849964617760006-0.05531635082958197j),0j,(-0.08499646177600008-0.05531635082958102j),(-0.08499646177599933-0.05531635082958009j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12414310013214143+0.014137107332793396j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12414310013214143+0.014137107332793095j),0j,0j,0j,0j,0j,0j,0j,(-0.08499646177600288-0.05531635082958531j),0j,0j,0j,(0.12414310013214173+0.01413710733279382j),0j,(0.12414310013214264+0.014137107332794665j),(0.12414310013214377+0.014137107332795908j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12414310013214173+0.014137107332793171j),0j,0j,0j,0j,0j,0j,0j,(-0.08499646177600235-0.055316350829585276j),0j,0j,0j,(0.12414310013214187+0.014137107332794087j),0j,(0.12414310013214291+0.014137107332794848j),(0.12414310013214373+0.014137107332796104j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.08499646177600235-0.05531635082958525j),0j,0j,0j,(0.12414310013214173+0.014137107332794097j),0j,(0.12414310013214289+0.014137107332794642j),(0.12414310013214397+0.014137107332796104j),0j,0j,0j,0j,(-0.08499646177600215-0.0553163508295847j),0j,(-0.08499646177600215-0.0553163508295838j),(-0.08499646177600172-0.05531635082958231j),0j,0j,(0.12414310013214311+0.014137107332795227j),(0.12414310013214384+0.014137107332796647j),0j,(0.12414310013214484+0.014137107332797414j),0j,0j,0j
7000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06851920997939069+0.14905232662487553j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06851920997939054+0.149052326624875j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06851920997939073+0.1490523266248751j),0j,0j,0j,0j,0j,0j,0j,(-0.006323550972884869-0.5304752920828736j),0j,0j,0j,(0.06851920997939082+0.14905232662487528j),0j,(0.06851920997939207+0.1490523266248745j),(0.06851920997939312+0.14905232662487405j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.061978599515264896-0.15011063402764388j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.06197859951526505-0.15011063402764369j),0j,0j,0j,0j,0j,0j,0j,(0.06851920997938697+0.1490523266248775j),0j,0j,0j,(-0.06197859951526449-0.15011063402764407j),0j,(-0.06197859951526368-0.15011063402764538j),(-0.06197859951526234-0.15011063402764663j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.061978599515264965-0.15011063402764394j),0j,0j,0j,0j,0j,0j,0j,(0.06851920997938683+0.14905232662487736j),0j,0j,0j,(-0.06197859951526404-0.15011063402764457j),0j,(-0.06197859951526346-0.15011063402764577j),(-0.06197859951526197-0.15011063402764685j),0j,0j,0j,0j,0j,0j,0j,0j,(0.06851920997938675+0.14905232662487733j),0j,0j,0j,(-0.061978599515264084-0.1501106340276446j),0j,(-0.06197859951526367-0.15011063402764566j),(-0.06197859951526224-0.15011063402764707j),0j,0j,0j,0j,(0.06851920997938718+0.1490523266248771j),0j,(0.0685192099793889+0.1490523266248764j),(0.06851920997939037+0.14905232662487525j),0j,0j,(-0.06197859951526297-0.15011063402764602j),(-0.061978599515261176-0.1501106340276472j),0j,(-0.06197859951526088-0.15011063402764813j),0j,0j,0j
8000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.032216787938964576-0.1534214078606909j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.032216787938964604-0.15342140786069106j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.032216787938964306-0.15342140786069092j),0j,0j,0j,0j,0j,0j,0j,(0.16924313436968066+0.5719966075178285j),0j,0j,0j,(0.03221678793896456-0.15342140786069197j),0j,(0.03221678793896322-0.15342140786069314j),(0.03221678793896285-0.15342140786069472j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.09285311248347768+0.1210890959054692j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0928531124834776+0.1210890959054691j),0j,0j,0j,0j,0j,0j,0j,(0.032216787938967664-0.15342140786068723j),0j,0j,0j,(-0.09285311248347794+0.12108909590546867j),0j,(-0.09285311248347908+0.12108909590546814j),(-0.0928531124834807+0.12108909590546676j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.09285311248347783+0.12108909590546894j),0j,0j,0j,0j,0j,0j,0j,(0.03221678793896763-0.15342140786068736j),0j,0j,0j,(-0.09285311248347862+0.12108909590546857j),0j,(-0.09285311248347965+0.12108909590546799j),(-0.09285311248348135+0.12108909590546647j),0j,0j,0j,0j,0j,0j,0j,0j,(0.03221678793896759-0.15342140786068734j),0j,0j,0j,(-0.0928531124834786+0.12108909590546868j),0j,(-0.09285311248347954+0.12108909590546817j),(-0.09285311248348117+0.12108909590546679j),0j,0j,0j,0j,(0.03221678793896755-0.15342140786068792j),0j,(0.03221678793896578-0.15342140786068925j),(0.03221678793896447-0.1534214078606908j),0j,0j,(-0.09285311248348002+0.12108909590546764j),(-0.09285311248348188+0.12108909590546606j),0j,(-0.0928531124834826+0.12108909590546502j),0j,0j,0j
9000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05007813364299287+0.07646466714560265j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.050078133642993496+0.07646466714560306j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.05007813364299302+0.0764646671456031j),0j,0j,0j,0j,0j,0j,0j,(-0.01711414167070891-0.8600638286801894j),0j,0j,0j,(-0.05007813364299458+0.07646466714560375j),0j,(-0.05007813364299533+0.0764646671456051j),(-0.050078133642998075+0.07646466714560635j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09883808599923116+0.02967246827251558j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09883808599923119+0.02967246827251565j),0j,0j,0j,0j,0j,0j,0j,(-0.05007813364298978+0.07646466714559882j),0j,0j,0j,(0.0988380859992306+0.029672468272516017j),0j,(0.09883808599922989+0.029672468272517002j),(0.09883808599922879+0.02967246827251883j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09883808599923077+0.0296724682725159j),0j,0j,0j,0j,0j,0j,0j,(-0.05007813364299016+0.07646466714559916j),0j,0j,0j,(0.09883808599923076+0.029672468272516482j),0j,(0.09883808599923008+0.029672468272517516j),(0.09883808599922869+0.029672468272519466j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.05007813364299006+0.07646466714559914j),0j,0j,0j,(0.09883808599923093+0.02967246827251635j),0j,(0.09883808599923007+0.02967246827251735j),(0.09883808599922894+0.029672468272519167j),0j,0j,0j,0j,(-0.05007813364299092+0.07646466714559941j),0j,(-0.05007813364299135+0.07646466714560107j),(-0.0500781336429933+0.07646466714560247j),0j,0j,(0.09883808599922975+0.029672468272517974j),(0.09883808599922837+0.029672468272519854j),0j,(0.09883808599922701+0.029672468272521353j),0j,0j,0j
10000,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.007006118394816421-0.08208470502765293j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.007006118394815392-0.08208470502765258j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.007006118394815861-0.08208470502765303j),0j,0j,0j,0j,0j,0j,0j,(-0.4205877302866338+0.8209275871216569j),0j,0j,0j,(-0.007006118394814294-0.08208470502765237j),0j,(-0.007006118394813187-0.08208470502765151j),(-0.007006118394810231-0.08208470502764928j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03774251193279152-0.05560131041425873j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.037742511932791586-0.055601310414259066j),0j,0j,0j,0j,0j,0j,0j,(-0.007006118394820285-0.08208470502765676j),0j,0j,0j,(0.03774251193279212-0.05560131041425811j),0j,(0.03774251193279372-0.05560131041425717j),(0.03774251193279524-0.05560131041425552j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03774251193279218-0.05560131041425858j),0j,0j,0j,0j,0j,0j,0j,(-0.007006118394819641-0.08208470502765638j),0j,0j,0j,(0.03774251193279235-0.055601310414258025j),0j,(0.03774251193279383-0.055601310414257206j),(0.03774251193279552-0.05560131041425565j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.007006118394819647-0.08208470502765662j),0j,0j,0j,(0.03774251193279219-0.055601310414258275j),0j,(0.03774251193279388-0.05560131041425723j),(0.037742511932795354-0.0556013104142556j),0j,0j,0j,0j,(-0.007006118394818927-0.08208470502765566j),0j,(-0.007006118394818225-0.08208470502765537j),(-0.007006118394815892-0.08208470502765347j),0j,0j,(0.0377425119327943-0.05560131041425671j),(0.03774251193279608-0.05560131041425512j),0j,(0.03774251193279819-0.055601310414254174j),0j,0j,0j
